search_id,row_index,DOI,Year & Author,Mxene formula,Composition,Synthesis method,Layer No,Interlayer spacing (d),Flake Size,Porosity,Pore Diameter,Tortuosity,Electrode Thickness,Mass Loading,Electrolyte,SSA,Scan Rate,Current Density,Gravimetric Capacitance,Volumetric Capacitance,Areal Capacitance
1,0,10.1063/5.0282658,"2025, Qu et al.",Ti3C2Tx,"Ti₃C₂ with –OH, –F, =O terminations",LiF/HCl in-situ HF etching + ultrasonic exfoliation,Single-layer,1.36 nm,~0.440 µm²,,,,,5–20 wt.% (paraffin matrix),,,,,,,
1,1,10.1063/5.0282658,"2025, Qu et al.",Ti3C2Tx,"Ti₃C₂ with –OH, –F, =O terminations","LiF/HCl in-situ HF etching + OAIC (2 cycles, DMSO/DCM)",Single-layer,1.47 nm,~1.586 µm²,,,,,5–20 wt.% (paraffin matrix),,,,,,,
1,2,10.1063/5.0282658,"2025, Qu et al.",Ti3C2Tx,"Ti₃C₂ with –OH, –F, =O terminations","LiF/HCl in-situ HF etching + OAIC (last 2 of 6 cycles, DMSO/DCM)",Single-layer,1.52 nm,~4.678 µm²,,,,,5–20 wt.% (paraffin matrix),,,,,,,
1,16,10.1002/aenm.202000681,"2021, Aslam et al.",V₂CTₓ,"V₂C with –OH, –F, =O terminations",HF etching,Multilayer,,,,,,,,,,,10 mA g⁻¹,,,
1,17,10.1002/aenm.202000681,"2021, Aslam et al.",Ti₃C₂Tₓ@Sb-0.5,Ti₃C₂ composite with Sb,,,,,,,,,,,,,1000 mA g⁻¹,,,
1,18,10.1002/aenm.202000681,"2021, Aslam et al.",CT-S@Ti₃C₂-450,Ti₃C₂ with covalently bonded S-atom pillars,CTAB pretreatment + thermal S-pillaring (155 °C),,1.37 nm,,,,,,,,,,100 mA g⁻¹,,,
1,19,10.1002/aenm.202000681,"2021, Aslam et al.",PDDA-BP/Ti₃C₂,Ti₃C₂ heterostructure with PDDA-modified black phosphorus nanosheets,Electrostatic adsorption self-assembly,"Few-layer, delaminated",,,,,,,,,,,1000 mA g⁻¹,,,
1,20,10.1002/aenm.202000681,"2021, Aslam et al.",PDDA-NPCN/Ti₃C₂,Ti₃C₂ with N-rich porous carbon nanochips via PDDA electrostatic assembly,Electrostatic self-assembly of exfoliated Ti₃C₂ and PDDA-NPCN,Few-layer,24.6 Å (expanded upon K⁺ intercalation),,,,,,,,,,1000 mA g⁻¹,,,
1,25,10.1002/aenm.202000681,"2021, Aslam et al.",Ti₃C₂Tₓ (inkjet MSC),Ti₃C₂Tₓ hydrophilic 2D MXene ink,Inkjet printing from aqueous MXene ink,,,,,,,,,,,,,,512 F cm⁻³,
1,33,10.3390/app14062452,2024; Aleksandrova et al.,Ti3C2Tx,"Ti3C2 with -OH, -F, =O terminations; 500-mesh precursor via ball milling",HF etching of Ti3AlC2 (500 mesh precursor via ball milling),Few-layer (single- to few-layer),,"~300 nm (small flake, 500 mesh)",,,,,,,,2 mV/s,,364 F/g,,
1,34,10.3390/app14062452,2024; Aleksandrova et al.,Ti3C2Tx,Ti3C2 with surface terminations; large flake (~4900 nm) via power-focused delamination,LiF/HCl (MILD) + power-focused delamination (PFD),Delaminated (large flake),,~4900 nm,,,,11 µm,,,12.5 m² g⁻¹,,,,,
