search_id,row_index,DOI,Year & Author,Mxene formula,Composition,Synthesis method,Layer No,Interlayer spacing (d),Flake Size,Porosity,Pore Diameter,Tortuosity,Electrode Thickness,Mass Loading,Electrolyte,SSA,Scan Rate,Current Density,Gravimetric Capacitance,Volumetric Capacitance,Areal Capacitance
1,6,10.1021/acsami.1c00724,"2021, Wen et al.",Ti3C2Tx,"Ti3C2 with -OH, -F, =O, -Cl terminations","LiF/HCl etching (MILD), 40°C, 24 h",Few-layer / single-layer,15 Å,100-350 nm,,,,187 nm,,1 M Na2SO4 (aqueous),,5 mV/s,,,,1225 µF cm-2
1,7,10.1021/acsami.1c00724,"2021, Wen et al.",Ti3C2Tx,"Ti3C2 with -OH, -F, =O, -Cl terminations","LiF/HCl etching (MILD), 40°C, 24 h",Few-layer / single-layer,15 Å,100-350 nm,,,,104 nm,,1 M Na2SO4 (aqueous),,5 mV/s,,,,~400 µF cm-2
1,8,10.1021/acsami.1c00724,"2021, Wen et al.",Ti3C2Tx,"Ti3C2 with -OH, -F, =O, -Cl terminations","LiF/HCl etching (MILD), 40°C, 24 h",Few-layer / single-layer,15 Å,100-350 nm,,,,78 nm,,1 M Na2SO4 (aqueous),,5 mV/s,,,,~250 µF cm-2
1,9,10.1021/acsami.1c00724,"2021, Wen et al.",Ti3C2Tx,"Ti3C2 with -OH, -F, =O, -Cl terminations","LiF/HCl etching (MILD), 40°C, 24 h",Few-layer / single-layer,15 Å,100-350 nm,,,,44 nm,,1 M Na2SO4 (aqueous),,5 mV/s,,,,~200 µF cm-2
1,10,10.1021/acsami.1c00724,"2021, Wen et al.",Ti3C2Tx,"Ti3C2 with -OH, -F, =O, -Cl terminations","LiF/HCl etching (MILD), 40°C, 24 h",Few-layer / single-layer,15 Å,100-350 nm,,,,19 nm,,1 M Na2SO4 (aqueous),,10 mV/s,,,,187.5 µF cm-2
1,11,10.1021/acsami.1c00724,"2021, Wen et al.",Ti3C2Tx,"Ti3C2 with -OH, -F, =O, -Cl terminations","LiF/HCl etching (MILD), 40°C, 24 h",Few-layer / single-layer,15 Å,100-350 nm,,,,,,H3PO4-PVA gel (solid-state),,2 mV/s,,,,192 µF cm-2
1,21,10.1002/aenm.202000681,"2021, Aslam et al.",CT-Ti₃C₂Tₓ (Ti₃C₂Tₓ/CTAB),Ti₃C₂ with pre-intercalated CTAB cationic surfactant,CTAB pre-intercalation,,,,,,,,,APC Mg electrolyte,,,200 mA g⁻¹,,300 mAh cm⁻³ at 50 mA g⁻¹,
1,22,10.1002/aenm.202000681,"2021, Aslam et al.",FL-V₂CTₓ,"V₂C with surface terminations, few-layer",Delamination in 1-methyl-2-pyrrolidinone,Few-layer,,,,,,,,Chloroaluminate ionic liquid,,,200 mA g⁻¹,,,
1,23,10.1002/aenm.202000681,"2021, Aslam et al.",p-Ti₃C₂Tₓ (paper electrode),,LiF/HCl etching + cation pre-intercalation,Multilayer paper,25.4 Å (KOH-intercalated; original 20.3 Å),,,,,2–20 µm,,1 M KOH,,2 mV s⁻¹,,,450 F cm⁻³,
1,24,10.1002/aenm.202000681,"2021, Aslam et al.",Ti₃C₂Tₓ MXLLC,"Ti₃C₂Tₓ with C₁₂E₆ surfactant, vertically aligned liquid crystal film",Liquid crystal shear alignment,,,,,,,40–200 µm,2.60–6.16 mg cm⁻²,H₂SO₄,,≤2000 mV s⁻¹,20 A g⁻¹,,,≥0.6 F cm⁻²
