search_id,row_index,DOI,Year & Author,Mxene formula,Composition,Synthesis method,Layer No,Interlayer spacing (d),Flake Size,Porosity,Pore Diameter,Tortuosity,Electrode Thickness,Mass Loading,Electrolyte,SSA,Scan Rate,Current Density,Gravimetric Capacitance,Volumetric Capacitance,Areal Capacitance
1,3,10.1021/acsnano.9b10066,"2020, Zhou et al.",Ti₃C₂Tₓ,"Ti₃C₂ with surface terminations (–OH, –F, =O)","LiF/HCl (MILD) etching of Ti₃AlC₂; stirred 400 rpm, 24 h, 35°C",Single- or double-layer,,0.116 ± 0.047 µm,,,,~0.6 µm,,1 M H₂SO₄ (aqueous),,5–50 mV s⁻¹,1 A g⁻¹,,464 F cm⁻³ (0% strain); 36 F cm⁻³ (300% strain),
1,4,10.1021/acsnano.9b10066,"2020, Zhou et al.",Ti₃C₂Tₓ/RGO (50:50 wt%),"Ti₃C₂Tₓ + reduced graphene oxide, 1:1 weight ratio",LiF/HCl MILD etching + vacuum-assisted filtration; dry transfer onto VHB 4910 at 300% uniaxial prestrain,Single- or double-layer (MXene); single-layer RGO (~1.2 nm),,MXene: 0.116 ± 0.047 µm; RGO: 1.74 ± 0.68 µm,,,,~1 µm,,1 M H₂SO₄ (aqueous),,5–200 mV s⁻¹,0.5 A g⁻¹,~140 F g⁻¹,~490 F cm⁻³,49 mF cm⁻² (stable 0–300% uniaxial strain)
1,5,10.1021/acsnano.9b10066,"2020, Zhou et al.",Ti₃C₂Tₓ/RGO (50:50 wt%),"Ti₃C₂Tₓ + reduced graphene oxide, 1:1 weight ratio",LiF/HCl MILD etching + vacuum-assisted filtration; dry transfer onto VHB 4910 at 200%×200% biaxial prestrain,Single- or double-layer (MXene); single-layer RGO (~1.2 nm),,MXene: 0.116 ± 0.047 µm; RGO: 1.74 ± 0.68 µm,,,,~1 µm,,1 M H₂SO₄ (aqueous),,5–50 mV s⁻¹,0.5 A g⁻¹,,,~36 mF cm⁻² (stable 0–200%×200% biaxial strain)
1,12,10.1002/adma.202304757,"2023, Arslanoglu et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations",MILD (LiF/HCl etching of Ti₃AlC₂ MAX),Single- and multilayer (delaminated),,"~1000 nm (hydrodynamic diameter, DLS)",60%,~50 μm,,~1 mm,2.43 mg cm⁻²,3 M PVA/H₂SO₄,,10 mV s⁻¹,2 mA cm⁻²,7.26 F g⁻¹,,7.24 F cm⁻²
1,13,10.1002/adma.202304757,"2023, Arslanoglu et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations",MILD (LiF/HCl etching of Ti₃AlC₂ MAX),Single- and multilayer (delaminated),,"~1000 nm (hydrodynamic diameter, DLS)",40%,~20 μm,,~1 mm,,3 M PVA/H₂SO₄,,10 mV s⁻¹,,,,
1,14,10.1002/adma.202304757,"2023, Arslanoglu et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations",MILD (LiF/HCl etching of Ti₃AlC₂ MAX),Single- and multilayer (delaminated),,"~1000 nm (hydrodynamic diameter, DLS)",60%,~50 μm,,~1 mm,,3 M PVA/H₂SO₄,,10 mV s⁻¹,,,,
1,15,10.1002/adma.202304757,"2023, Arslanoglu et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations",MILD (LiF/HCl etching of Ti₃AlC₂ MAX),Single- and multilayer (delaminated),,"~1000 nm (hydrodynamic diameter, DLS)",60%,~50 μm,,~1 mm,,3 M PVA/H₂SO₄,,10 mV s⁻¹,,,,3.13 F cm⁻²
1,52,10.1039/d5ta06789h,"2026, Duong et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –O, –OH, halogen, chalcogen terminations","MILD (LiF/HCl, 45°C, 24 h)",Single- or few-layer,16.0 Å,,,,,,1 mg cm⁻²,1 M H₂SO₄,,5 mV s⁻¹,1 A g⁻¹,"211.2 F g⁻¹ (1 A g⁻¹, GCD); 219.1 F g⁻¹ (5 mV s⁻¹, CV)",,
1,53,10.3390/inorganics12040112,"2024, Sun et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations",LiF/HCl (MILD etching),,2.7–2.8,,,,,,,H₂SO₄,,2,,245,900,
1,55,10.3390/inorganics12040112,"2024, Sun et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations",LiF/HCl (MILD etching),,,,,,,,,3 M H₂SO₄,,2,,380,1500,4000
1,76,10.3390/nano14010062,"2024, Prabhakar Vattikuti et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations",MILD (LiF/HCl etching) + intercalation,,,,,,,,,1 mol/L H₂SO₄,,2 mV/s,,391 F/g,,
1,90,10.1021/acsnano.9b10066,"2020, Zhou et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations; 50 wt% RGO composite","MILD (LiF/HCl etching, 35°C, 24 h)",Single- or double-layer (delaminated),,MXene: 0.116 ± 0.047 µm; RGO: 1.74 ± 0.68 µm,,,,~1,,1 M H₂SO₄ (aqueous),,,0.5,~140,~490,49
1,91,10.1021/acsnano.9b10066,"2020, Zhou et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations; pure MXene film","MILD (LiF/HCl etching, 35°C, 24 h)",Single- or double-layer (delaminated),,0.116 ± 0.047 µm,,,,~0.6,,1 M H₂SO₄ (aqueous),,,1,,464,
1,92,10.1021/acsnano.9b10066,"2020, Zhou et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations; 50 wt% RGO composite (symmetric full device)","MILD (LiF/HCl etching, 35°C, 24 h)",Single- or double-layer (delaminated),,MXene: 0.116 ± 0.047 µm; RGO: 1.74 ± 0.68 µm,,,,~1,,PVA-H₂SO₄ gel electrolyte,,,0.1,~29,~90,18.6
1,100,10.3390/nano14010062,"2024, Prabhakar Vattikuti et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O surface terminations",MILD (LiF/HCl etching from Ti₃AlC₂ MAX phase),Single-layer to multilayer,19.5 Å (pristine),,,,,,,1 M H₂SO₄,,2,,480,,
1,102,10.3390/nano14010062,"2024, Prabhakar Vattikuti et al.",Ti₃C₂Tₓ,Ti₃C₂ with –O surface terminations (LiCl-KCl-K₂CO₃ molten salt treatment),LiF/HCl etching + LiCl-KCl-K₂CO₃ molten salt surface treatment,,,,,,,,,1 M H₂SO₄,,,1,323.6,,
1,120,10.1007/s40820-024-01567-2,"2025, Kim et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations",LiF/HCl MILD method,Delaminated (few-layer),12.4 (pure); 13.54 (after H⁺ intercalation) Å,~1 µm,,,,~50 nm,,2 M PVA/H₂SO₄ (gel),,50 mV s⁻¹,,,1226.8 F cm⁻³ (flat); 686.9 F cm⁻³ (bent),
