DOI,Year & Author,Mxene formula,Composition,Synthesis method,Layer No,Interlayer spacing (d),Flake Size,Porosity,Pore Diameter,Tortuosity,Electrode Thickness,Mass Loading,Electrolyte,SSA,Scan Rate,Current Density,Gravimetric Capacitance,Volumetric Capacitance,Areal Capacitance
10.1016/j.desal.2019.114267,2020; Agartan et al.,Ti₃C₂Tₓ,"Ti₃C₂ with surface terminations (–OH, –F, =O); ~10% pre-existing Ti oxidation before tests","HF etching (30% HF aqueous, 24 h, 35 °C) of Ti₃AlC₂ MAX phase",Multilayer,Not reported,Not reported,Not reported,Not reported,Not reported,~140 µm,Not reported,"10 mM ""NaCl""",Not reported,5 mV s⁻¹,Not reported,Not reported,Not reported,Not reported
10.1002/aelm.201800179,2018; Huang et al.,Ti₃C₂Tₓ,"Ti₃C₂ with –O, –OH, –F terminations",MILD (LiF/HCl etching),Few-layer (two-layer flakes shown by HRTEM),2.04 nm,Several µm,Not reported,Not reported,Not reported,21 µm,Not reported,PVA/H₂SO₄ gel,Not reported,5 mV s⁻¹,0.25 mA cm⁻²,Not reported,183 F cm⁻³,340 mF cm⁻²
10.1002/advs.202305991,2024; He et al.,Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations",MILD (LiF/HCl etching) + mechanical delamination; QDs by ultrasonication,Delaminated (single-/few-layer NSs),Not reported,7.6–9.5 µm (NSs); ~2.3 nm (QDs),Not reported,Not reported,Not reported,Not reported,Not reported,1 M H₂SO₄,Not reported,10 mV s⁻¹,1 A cm⁻³,Not reported,1560 F cm⁻³,Not reported
10.1016/j.cej.2020.126827,2021; Anwer et al.,Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations",Modified-MILD (LiF/HCl etching),Few-layer / ultrathin delaminated,~1.2 nm,2–4 µm,Not reported,Not reported,Not reported,Not reported,1 mg,1 M NaCl,Not reported,10 mV s⁻¹,2 A g⁻¹,142 F g⁻¹,Not reported,Not reported
10.1007/s10934-025-01817-7,2025; Karthikeyan et al.,Ti₃C₂Tₓ,"Ti₃C₂ with –O, –OH, –F surface terminations","MILD (LiF/HCl etching) followed by hydrothermal compositing with GO at 140 °C, 6 h",Few-layer (single-layer Ti₃C₂Tₓ nanoflakes observed),Not reported,2.2 ± 0.5 µm,Not reported,4.8 nm (range 2–5 nm),Not reported,Not reported,Not reported,1 M KOH,174 m² g⁻¹,10 mV s⁻¹,1 A g⁻¹,335 C g⁻¹,412.4 F cm⁻³,Not reported
10.1002/adfm.202005663,2020; Fang et al.,Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O, and C–Ti–Fₓ surface groups",Spray-lyophilization of 2D Ti₃C₂Tₓ (etched from Ti₃AlC₂); 3D architecture formed by spraying aqueous dispersion into boiling liquid N₂ followed by vacuum drying,Few-layer,1.35 nm,Not reported,Not reported,~100 nm,Not reported,"75, 150, 200 µm",0.4–1.2 mg cm⁻²,0.8 M KPF₆ in EC:DEC (1:1 vol%),32.3 m² g⁻¹ (3D-Ti₃C₂); 4.7 m² g⁻¹ (2D-Ti₃C₂),0.5–8.0 mV s⁻¹,0.05–2.0 A g⁻¹ (rate); 1.0 A g⁻¹ (long-term cycling),Not reported,Not reported,Not reported
10.1016/j.nanoen.2020.104741,"2020, Feng et al.","Ti3C2Tx (Mn2+-intercalated, MIT)","Ti3C2Tx with –OH, –O and –F surface terminations; Mn2+ intercalated and preferentially bonded with O-containing groups (Mn–O confirmed by XPS/DFT)","MILD route: LiF/HCl etching of Ti3AlC2 MAX, followed by MnCl2-solution Mn2+ intercalation and ultrasonic exfoliation",Few-layer / delaminated lamellar structure; explicit layer count not reported,1.6 nm (MIT); 1.3 nm (raw Ti3C2Tx),~200 nm,Not reported,Not reported,Not reported,2.5 µm (MIT film),"1.75 mg (MIT); 1.66 mg (raw Ti3C2Tx), total electrode mass per device; not normalized per cm2",PVA/H3PO4 gel electrolyte (all-solid-state),Not reported,2 mV s-1,0.1 mA cm-2,Not reported,Not reported; volumetric energy density reported as 11.8 mWh cm-3,87 mF cm-2 (MIT); 77.5 mF cm-2 (raw Ti3C2Tx) at 2 mV s-1
10.1016/j.apsusc.2021.149710,"2021, Hwang et al.",Ti3C2Tx,Ti3C2Tx with oxygen-containing surface terminations; TiO2 formation during stabilization indicates surface –O groups; XPS confirmed,"Main-text synthesis route not reported for Ti3C2Tx MXene; electrode fabricated by electrospinning PAN/MXene dope, stabilization at 280 °C in air, and carbonization at 800 °C in Ar",Few-layer / delaminated nanosheets implied by TEM alignment in fibers; explicit layer count not reported,Not reported,0.7–0.8 µm (SMX); 2–3 µm (MMX); 6–8 µm (LMX). Best-performing SMX: 0.7–0.8 µm,"Not reported; network-like porous structure described qualitatively, but no porosity % in main text",Not reported,Not reported,"Not reported; fiber thickness ~785.6 ± 41.1 nm, but overall electrode/film thickness not stated",Not reported,1 M H2SO4 aqueous electrolyte,Not reported,2 mV s-1,Not reported,~120 F g-1 (SMX/C) at 2 mV s-1; 90 F g-1 at 300 mV s-1,Not reported,Not reported
10.1002/cssc.201902679,"2020, Li, Wen, Zhang",Ti3C2Tx,"Ti3C2Tx with –O, –OH, –F and –Cl surface terminations; terminations bonded to outer Ti layers","Review covers HF, MILD (LiF/HCl), NH4HF2, NaOH hydrothermal and electrochemical etching; headline 1500 F cm-3 result uses MILD-etched hydrogel","Few-layer / monolayer (delaminated), highlighted as preferred form for high performance","Not reported; review cites c-LP changes for some treatments (e.g., 20.2 to 25.4 Å on hydrazine treatment), but no single d-spacing for headline electrode",Not reported; review mentions various sizes across cited works but no single value for headline electrode,Not reported; no quantitative porosity for headline electrode and review notes pore characterization is generally lacking,Not reported,Not reported,Not reported,Discussed; commercial target >10 mg cm-2; review notes ~20% capacitance decrease at 10 mg cm-2 loading,3 M H2SO4 aqueous acidic electrolyte,"Not reported; review gives SSA values for selected derivatives only, not a single value for headline electrode",2 mV s-1,Not reported,517 F g-1 (best pure Ti3C2Tx value highlighted; K+ intercalation plus terminal group removal),1500 F cm-3 (best pure Ti3C2Tx hydrogel result highlighted); 900 F cm-3 for additive-free clay film,3440 mF cm-2 (highest reported in review for Ti3C2Tx/PDA composite at 13.6 mg cm-2)
10.1016/j.cej.2019.123329,"2019, Ma et al.",Ti3C2Tx,"Ti3C2Tx with –O, –OH and –F terminations; termination ratio –O:–OH:–F = 0.21:0.35:0.43, confirmed by XPS","MILD route: LiF/HCl etching of Ti3AlC2 MAX (1 g LiF + 20 mL 9 M HCl, 40 °C, 24 h), followed by sonication under Ar and vacuum filtration",Few-layer to single-layer after ultrasonic delamination; confirmed by SEM/TEM,1.28 nm from XRD (002) peak at 2θ = 6.87°; consistent with TEM,Not reported,Not reported,Not reported,Not reported,Not reported; cross-section SEM shown but thickness value not stated,"Not reported; electrode mass given as 50 mg per ~3 cm diameter film, but areal loading not explicitly stated",1 M NaCl for electrochemistry; 10 mM NaCl for CDI feed,2.1 m² g⁻¹,"1, 5, 10, 20 and 50 mV s⁻¹",100 mA g⁻¹,127.76 F g⁻¹ (≈31.94 mAh g⁻¹) at 100 mA g⁻¹ in 1 M NaCl,Not reported,Not reported
