paper_id,source_file,doi,interlayer_A,scan_rate_mV_s,current_density_A_g,mass_loading_mg_cm2,electrode_thickness_um,ssa_m2_g,flake_size_um,pore_diameter_nm,h2so4_M,layer_class,composition_family,synthesis_family,electrolyte_is_gel,target_cap_F_g,target_is_approximate,target_outlier_flag
10.1016/j.carbon.2025.120021,1-s2.0-S0008622325000375-main.pdf,10.1016/j.carbon.2025.120021,14.2,2.0,,1.69,7.0,,,,2.0,single_or_few_layer,pristine_mxene,LiF_HCl_MILD,False,424.0,False,False
10.1016/j.carbon.2025.120021,1-s2.0-S0008622325000375-main.pdf,10.1016/j.carbon.2025.120021,,2.0,,2.12,8.0,,,,2.0,single_or_few_layer,pristine_mxene,LiF_HCl_MILD,False,358.0,False,False
10.1016/j.carbon.2025.120021,1-s2.0-S0008622325000375-main.pdf,10.1016/j.carbon.2025.120021,11.5,2.0,,1.2,5.02,,,,2.0,single_or_few_layer,pristine_mxene,LiF_HCl_MILD,False,330.0,False,False
10.1016/j.electacta.2022.139871,1-s2.0-S0013468622000433-main.pdf,10.1016/j.electacta.2022.139871,12.58,,1.0,,,2.95,,,1.0,multilayer,pristine_mxene,LiF_HCl_MILD,False,201.0,False,False
10.1016/j.electacta.2022.139871,1-s2.0-S0013468622000433-main.pdf,10.1016/j.electacta.2022.139871,12.8,,1.0,,19.88,,,,1.0,multilayer,mxene_polymer_composite,LiF_HCl_MILD,False,239.0,False,False
10.1016/j.electacta.2022.139871,1-s2.0-S0013468622000433-main.pdf,10.1016/j.electacta.2022.139871,13.14,10.0,,,30.76,5.97,,,1.0,multilayer,mxene_polymer_composite,LiF_HCl_MILD,False,425.7,False,False
10.1016/j.electacta.2022.139871,1-s2.0-S0013468622000433-main.pdf,10.1016/j.electacta.2022.139871,12.88,,1.0,,31.73,,,,1.0,multilayer,mxene_polymer_composite,LiF_HCl_MILD,False,243.0,False,False
10.1016/j.carbpol.2022.120519,1-s2.0-S0144861722014242-main.pdf,10.1016/j.carbpol.2022.120519,,,,,,,,,1.0,delaminated,pristine_mxene,LiF_HCl_MILD,False,221.0,False,False
10.1016/j.carbpol.2022.120519,1-s2.0-S0144861722014242-main.pdf,10.1016/j.carbpol.2022.120519,,,,,,,,,1.0,delaminated,mxene_carbon_composite,LiF_HCl_MILD,False,122.0,False,False
10.1016/j.carbpol.2022.120519,1-s2.0-S0144861722014242-main.pdf,10.1016/j.carbpol.2022.120519,,,,,,,,,1.0,delaminated,mxene_carbon_composite,LiF_HCl_MILD,False,356.0,False,False
10.1016/j.apsusc.2019.144250,1-s2.0-S0169433219330661-main.pdf,10.1016/j.apsusc.2019.144250,12.54,,1.0,1.67,4.6,,,,3.0,delaminated,pristine_mxene,LiF_HCl_MILD,False,166.0,False,False
10.1016/j.ceramint.2020.05.247,1-s2.0-S0272884220315613-main.pdf,10.1016/j.ceramint.2020.05.247,,2.0,,1.35,,,,,1.0,,pristine_mxene,LiF_HCl_MILD,False,234.0,False,False
10.1016/j.ceramint.2020.05.247,1-s2.0-S0272884220315613-main.pdf,10.1016/j.ceramint.2020.05.247,,2.0,,1.35,5.0,,,,1.0,multilayer,doped_mxene,LiF_HCl_MILD,False,340.0,False,False
