row_index,paper_id,raw_value,raw_unit,parsed_kind,disposition,target_cap_F_g
0,10.1016/j.carbon.2025.120021,424,F g−1,exact,kept:exact,424.0
1,10.1016/j.carbon.2025.120021,358,F g−1,exact,kept:exact,358.0
2,10.1016/j.carbon.2025.120021,330,F g−1,exact,kept:exact,330.0
3,10.1016/j.electacta.2022.139871,201,F g−1,exact,kept:exact,201.0
4,10.1016/j.electacta.2022.139871,239,F g−1,exact,kept:exact,239.0
5,10.1016/j.electacta.2022.139871,425.7,F g−1,exact,kept:exact,425.7
6,10.1016/j.electacta.2022.139871,243,F g−1,exact,kept:exact,243.0
7,10.1016/j.carbpol.2022.120519,221,F g−1,exact,kept:exact,221.0
8,10.1016/j.carbpol.2022.120519,122,F g−1,exact,kept:exact,122.0
9,10.1016/j.carbpol.2022.120519,356,F g−1,exact,kept:exact,356.0
10,10.1016/j.apsusc.2019.144250,166,F g−1,exact,kept:exact,166.0
11,10.1016/j.ceramint.2020.05.247,234,F g−1,exact,kept:exact,234.0
12,10.1016/j.ceramint.2020.05.247,340,F g−1,exact,kept:exact,340.0
13,10.1016/j.jallcom.2021.161304,227,F/g,exact,kept:exact,227.0
14,10.1016/j.jallcom.2021.161304,238,F/g,exact,kept:exact,238.0
15,10.1016/j.jallcom.2021.161304,307,F/g,exact,kept:exact,307.0
16,10.1016/j.jallcom.2021.161304,,,missing,dropped:no_value_reported,
17,10.1016/j.jallcom.2022.166647,311,F/g,exact,kept:exact,311.0
18,10.1016/j.jallcom.2022.166647,,,missing,dropped:no_value_reported,
19,10.1016/j.jallcom.2022.166647,385,F/g,exact,kept:exact,385.0
20,10.1016/j.jallcom.2022.166647,,,missing,dropped:no_value_reported,
21,10.1016/j.jallcom.2022.166647,303,F/g,exact,kept:exact,303.0
22,10.1016/j.jallcom.2022.166647,340,F/g,exact,kept:exact,340.0
23,10.1016/j.jallcom.2022.166647,353,F/g,exact,kept:exact,353.0
24,10.1016/j.jallcom.2022.166647,325,F/g,exact,kept:exact,325.0
25,10.1016/j.jallcom.2022.166647,325,F/g,exact,kept:exact,325.0
26,10.1016/j.jallcom.2023.173355,489.3,F g-1,exact,kept:exact,489.3
27,10.1016/j.jallcom.2023.173355,,,missing,dropped:no_value_reported,
28,10.1016/j.jallcom.2023.173355,,,missing,dropped:no_value_reported,
29,10.1016/j.jallcom.2023.173355,1609.5,F g-1,exact,kept:exact,1609.5
30,10.1016/j.jallcom.2023.173355,,,missing,dropped:no_value_reported,
31,10.1016/j.apmt.2019.06.013,278,F g−1,exact,kept:exact,278.0
32,10.1016/j.apmt.2019.06.013,378,F g−1,exact,kept:exact,378.0
33,10.1016/j.apmt.2019.06.013,414,F g−1,exact,kept:exact,414.0
34,10.1016/j.jobab.2021.10.001,362,F/g,exact,kept:exact,362.0
35,10.1016/j.ensm.2023.103148,~280,F g−1,approximate,kept:approximate,280.0
36,10.1016/j.ensm.2023.103148,292,F g−1,exact,kept:exact,292.0
37,10.1016/j.ensm.2023.103148,289,F g−1,exact,kept:exact,289.0
38,10.1016/j.ensm.2023.103148,300,F g−1,exact,kept:exact,300.0
39,10.1016/j.ensm.2023.103148,277,F g−1,exact,kept:exact,277.0
40,10.1016/j.ensm.2023.103148,100,F g−1,exact,kept:exact,100.0
41,10.1016/j.ensm.2023.103148,286,F g−1,exact,kept:exact,286.0
