feature,shap_rank,mean_abs_shap,sd_abs_shap,mean_rank,rank_sd,n_folds_top5,n_folds,source_feature,level
h2so4_M,1,25.66386,9.287724,1.4,0.8944271909999161,5,5,h2so4_M,source
composition_family,2,22.801992,9.375688,2.4,0.8944271909999159,5,5,composition_family,source
scan_rate_mV_s,3,16.912655,5.924222,2.8,1.0954451150103321,5,5,scan_rate_mV_s,source
interlayer_A,4,13.042574,8.477892,4.0,1.5811388300841898,4,5,interlayer_A,source
layer_class,5,9.130016,2.6129596,4.8,0.44721359549995787,5,5,layer_class,source
ssa_m2_g,6,7.588269,4.874172,6.4,1.51657508881031,1,5,ssa_m2_g,source
electrode_thickness_um,7,6.0824265,3.3701785,7.0,1.0,0,5,electrode_thickness_um,source
current_density_A_g,8,3.2761807,1.1729668,7.8,1.4832396974191326,0,5,current_density_A_g,source
mass_loading_mg_cm2,9,2.1018484,0.9272538,9.6,0.8944271909999159,0,5,mass_loading_mg_cm2,source
electrolyte_is_gel,10,1.8120998,1.4099256,10.0,2.0,0,5,electrolyte_is_gel,source
flake_size_um,11,1.1901996,0.57021743,10.8,1.0954451150103321,0,5,flake_size_um,source
pore_diameter_nm,12,1.0920283,1.0977184,11.0,1.224744871391589,0,5,pore_diameter_nm,source
synthesis_family,13,0.0,0.0,12.8,0.4472135954999579,0,5,synthesis_family,source
h2so4_M,1,25.66386,9.2877245,1.2,0.44721359549995804,5,5,h2so4_M,encoded
scan_rate_mV_s,2,16.912655,5.924222,3.0,1.4142135623730951,5,5,scan_rate_mV_s,encoded
interlayer_A,3,13.042574,8.477892,3.2,1.6431676725154984,5,5,interlayer_A,encoded
composition_family_pristine_mxene,4,10.564108,5.2798715,5.2,2.0493901531919194,2,5,composition_family,encoded
composition_family_doped_mxene,5,9.482115,6.2829323,6.4,6.5038450166036395,4,5,composition_family,encoded
ssa_m2_g,6,7.588269,4.874172,6.2,2.16794833886788,2,5,ssa_m2_g,encoded
electrode_thickness_um,7,6.082427,3.3701787,7.4,2.073644135332772,1,5,electrode_thickness_um,encoded
layer_class_single_or_few_layer,8,4.621362,1.9986136,7.6,1.1401754250991378,0,5,layer_class,encoded
current_density_A_g,9,3.2761807,1.172967,8.6,2.9664793948382653,1,5,current_density_A_g,encoded
layer_class___missing__,10,2.2747672,0.47843724,10.4,2.5099800796022267,0,5,layer_class,encoded
mass_loading_mg_cm2,11,2.1018486,0.9272538,11.6,1.6733200530681511,0,5,mass_loading_mg_cm2,encoded
layer_class_delaminated,12,2.1008968,1.5359031,11.6,4.560701700396552,0,5,layer_class,encoded
electrolyte_is_gel_False,13,1.5209035,1.2725221,14.4,4.09878030638384,0,5,electrolyte_is_gel,encoded
flake_size_um,14,1.1901996,0.57021743,14.2,2.2803508501982757,0,5,flake_size_um,encoded
composition_family_mxene_carbon_composite,15,1.1404405,0.92615193,15.0,2.7386127875258306,0,5,composition_family,encoded
pore_diameter_nm,16,1.0920283,1.0977184,15.6,3.0495901363953815,0,5,pore_diameter_nm,encoded
composition_family_mxene_polymer_composite,17,0.87294596,0.3034746,14.6,0.8944271909999159,0,5,composition_family,encoded
composition_family_structured_pristine_mxene,18,0.7398895,0.4217946,15.8,1.3038404810405297,0,5,composition_family,encoded
electrolyte_is_gel_True,19,0.29119626,0.2441139,18.2,0.8366600265340756,0,5,electrolyte_is_gel,encoded
layer_class_multilayer,20,0.13299029,0.075370856,19.2,1.7888543819998315,0,5,layer_class,encoded
composition_family_mxene_inorganic_composite,21,0.002493755,0.005576206,20.4,1.341640786499874,0,5,composition_family,encoded
synthesis_family_LiF_HCl_MILD,22,0.0,0.0,20.6,1.5165750888103102,0,5,synthesis_family,encoded
