column,excluded_from_bn_because
source_file,identifier / metadata / free text / target-derived - never a physical descriptor
source_path,identifier / metadata / free text / target-derived - never a physical descriptor
doi,identifier / metadata / free text / target-derived - never a physical descriptor
year,identifier / metadata / free text / target-derived - never a physical descriptor
authors,identifier / metadata / free text / target-derived - never a physical descriptor
electrode_label,identifier / metadata / free text / target-derived - never a physical descriptor
role,identifier / metadata / free text / target-derived - never a physical descriptor
is_primary,identifier / metadata / free text / target-derived - never a physical descriptor
mxene_formula__unit,identifier / metadata / free text / target-derived - never a physical descriptor
mxene_formula__conf,identifier / metadata / free text / target-derived - never a physical descriptor
composition__unit,identifier / metadata / free text / target-derived - never a physical descriptor
composition__conf,identifier / metadata / free text / target-derived - never a physical descriptor
synthesis_method__unit,identifier / metadata / free text / target-derived - never a physical descriptor
synthesis_method__conf,identifier / metadata / free text / target-derived - never a physical descriptor
layer_no__unit,identifier / metadata / free text / target-derived - never a physical descriptor
layer_no__conf,identifier / metadata / free text / target-derived - never a physical descriptor
layer_no__src,identifier / metadata / free text / target-derived - never a physical descriptor
interlayer_spacing__unit,identifier / metadata / free text / target-derived - never a physical descriptor
interlayer_spacing__conf,identifier / metadata / free text / target-derived - never a physical descriptor
interlayer_spacing__src,identifier / metadata / free text / target-derived - never a physical descriptor
flake_size__unit,identifier / metadata / free text / target-derived - never a physical descriptor
flake_size__conf,identifier / metadata / free text / target-derived - never a physical descriptor
flake_size__src,identifier / metadata / free text / target-derived - never a physical descriptor
porosity__unit,identifier / metadata / free text / target-derived - never a physical descriptor
porosity__conf,identifier / metadata / free text / target-derived - never a physical descriptor
porosity__src,identifier / metadata / free text / target-derived - never a physical descriptor
pore_diameter__unit,identifier / metadata / free text / target-derived - never a physical descriptor
pore_diameter__conf,identifier / metadata / free text / target-derived - never a physical descriptor
pore_diameter__src,identifier / metadata / free text / target-derived - never a physical descriptor
tortuosity__unit,identifier / metadata / free text / target-derived - never a physical descriptor
tortuosity__conf,identifier / metadata / free text / target-derived - never a physical descriptor
electrode_thickness__unit,identifier / metadata / free text / target-derived - never a physical descriptor
electrode_thickness__conf,identifier / metadata / free text / target-derived - never a physical descriptor
electrode_thickness__src,identifier / metadata / free text / target-derived - never a physical descriptor
mass_loading__unit,identifier / metadata / free text / target-derived - never a physical descriptor
mass_loading__conf,identifier / metadata / free text / target-derived - never a physical descriptor
mass_loading__src,identifier / metadata / free text / target-derived - never a physical descriptor
electrolyte__unit,identifier / metadata / free text / target-derived - never a physical descriptor
electrolyte__conf,identifier / metadata / free text / target-derived - never a physical descriptor
ssa__unit,identifier / metadata / free text / target-derived - never a physical descriptor
ssa__conf,identifier / metadata / free text / target-derived - never a physical descriptor
ssa__src,identifier / metadata / free text / target-derived - never a physical descriptor
scan_rate__unit,identifier / metadata / free text / target-derived - never a physical descriptor
scan_rate__conf,identifier / metadata / free text / target-derived - never a physical descriptor
scan_rate__src,identifier / metadata / free text / target-derived - never a physical descriptor
current_density__unit,identifier / metadata / free text / target-derived - never a physical descriptor
current_density__conf,identifier / metadata / free text / target-derived - never a physical descriptor
current_density__src,identifier / metadata / free text / target-derived - never a physical descriptor
gravimetric_capacitance__unit,identifier / metadata / free text / target-derived - never a physical descriptor
gravimetric_capacitance__conf,identifier / metadata / free text / target-derived - never a physical descriptor
gravimetric_capacitance__src,identifier / metadata / free text / target-derived - never a physical descriptor
volumetric_capacitance,identifier / metadata / free text / target-derived - never a physical descriptor
volumetric_capacitance__unit,identifier / metadata / free text / target-derived - never a physical descriptor
volumetric_capacitance__conf,identifier / metadata / free text / target-derived - never a physical descriptor
volumetric_capacitance__src,identifier / metadata / free text / target-derived - never a physical descriptor
areal_capacitance,identifier / metadata / free text / target-derived - never a physical descriptor
areal_capacitance__unit,identifier / metadata / free text / target-derived - never a physical descriptor
areal_capacitance__conf,identifier / metadata / free text / target-derived - never a physical descriptor
areal_capacitance__src,identifier / metadata / free text / target-derived - never a physical descriptor
formula_reasoning,identifier / metadata / free text / target-derived - never a physical descriptor
synthesis_reasoning,identifier / metadata / free text / target-derived - never a physical descriptor
electrolyte_reasoning,identifier / metadata / free text / target-derived - never a physical descriptor
overall,identifier / metadata / free text / target-derived - never a physical descriptor
overall_reasoning,identifier / metadata / free text / target-derived - never a physical descriptor
