paper_id,h2so4_M,composition_family,scan_rate_mV_s,interlayer_A,layer_class,target_cap_F_g,target_is_approximate,target_outlier_flag
10.1016/j.carbon.2025.120021,2.0,pristine_mxene,2.0,14.2,single_or_few_layer,424.0,False,False
10.1016/j.carbon.2025.120021,2.0,pristine_mxene,2.0,11.5,single_or_few_layer,330.0,False,False
10.1016/j.electacta.2022.139871,1.0,mxene_polymer_composite,10.0,13.14,multilayer,425.7,False,False
10.1016/j.jallcom.2023.173355,3.0,pristine_mxene,2.0,12.6,single_or_few_layer,489.3,False,False
10.1016/j.jallcom.2023.173355,3.0,doped_mxene,2.0,12.7,single_or_few_layer,1609.5,False,True
10.1016/j.apmt.2019.06.013,3.0,pristine_mxene,1.0,12.8,single_or_few_layer,278.0,False,False
10.1016/j.apmt.2019.06.013,3.0,pristine_mxene,1.0,11.0,single_or_few_layer,378.0,False,False
10.1016/j.apmt.2019.06.013,3.0,pristine_mxene,1.0,11.0,single_or_few_layer,414.0,False,False
10.1016/j.ensm.2023.103148,0.5,pristine_mxene,100.0,5.3,delaminated,280.0,True,False
10.1016/j.ensm.2023.103148,0.5,pristine_mxene,5.0,5.3,delaminated,292.0,False,False
10.1016/j.ensm.2023.103148,0.5,pristine_mxene,5.0,5.3,delaminated,289.0,False,False
10.1016/j.ensm.2023.103148,0.5,pristine_mxene,5.0,5.3,delaminated,300.0,False,False
10.1016/j.ensm.2023.103148,0.5,pristine_mxene,5.0,5.3,delaminated,277.0,False,False
10.1016/j.ensm.2023.103148,0.5,pristine_mxene,5.0,5.3,delaminated,100.0,False,False
10.1016/j.ensm.2023.103148,0.5,pristine_mxene,5.0,5.3,delaminated,286.0,False,False
10.1016/j.ensm.2023.103148,0.5,pristine_mxene,200.0,5.3,delaminated,240.0,False,False
10.1002/batt.201800014,1.0,pristine_mxene,2.0,12.5,single_or_few_layer,234.0,False,False
10.1002/adma.201701264,3.0,pristine_mxene,2.0,13.100000000000001,delaminated,330.2,False,False
10.1002/adma.201504705,1.0,pristine_mxene,5.0,13.8,delaminated,245.0,False,False
10.1002/adma.201504705,1.0,mxene_polymer_composite,5.0,10.0,delaminated,416.0,False,False
10.1039/d5ta06789h,1.0,pristine_mxene,5.0,13.7,single_or_few_layer,234.5,False,False
10.1039/d5ta06789h,1.0,mxene_polymer_composite,5.0,13.3,single_or_few_layer,146.9,False,False
10.1039/d5ta06789h,1.0,pristine_mxene,5.0,16.0,single_or_few_layer,219.1,False,False
10.1039/d6ta00010j,1.0,pristine_mxene,2.0,13.6,single_or_few_layer,192.0,False,False
10.1039/d6ta00010j,1.0,pristine_mxene,2.0,13.6,single_or_few_layer,226.0,False,False
10.1039/d6ta00010j,1.0,mxene_polymer_composite,2.0,17.1,single_or_few_layer,214.0,False,False
10.1039/d6ta00010j,1.0,mxene_polymer_composite,2.0,13.9,single_or_few_layer,230.0,False,False
10.1039/d6ta00010j,1.0,mxene_polymer_composite,2.0,13.8,single_or_few_layer,239.0,False,False
10.1039/d6ta00010j,1.0,mxene_polymer_composite,2.0,13.9,single_or_few_layer,200.0,False,False
10.1039/d6ta00010j,1.0,mxene_polymer_composite,2.0,14.3,single_or_few_layer,197.0,False,False
10.20517/energymater.2024.45,3.0,pristine_mxene,5.0,12.6,single_or_few_layer,258.8,False,False
10.20517/energymater.2024.45,3.0,pristine_mxene,5.0,11.8,single_or_few_layer,325.7,False,False
10.20517/energymater.2024.45,3.0,mxene_carbon_composite,5.0,11.9,single_or_few_layer,381.5,False,False
10.20517/energymater.2024.45,3.0,mxene_carbon_composite,5.0,13.4,single_or_few_layer,396.4,False,False
10.20517/energymater.2024.45,3.0,mxene_carbon_composite,5.0,13.8,single_or_few_layer,360.3,False,False
10.1002/eem2.12876,1.0,pristine_mxene,10.0,11.799999999999999,single_or_few_layer,294.0,False,False
10.1002/eem2.12876,1.0,pristine_mxene,10.0,12.8,single_or_few_layer,74.0,False,False
10.1002/eem2.12876,1.0,pristine_mxene,10.0,13.0,single_or_few_layer,105.0,False,False
10.1002/eem2.12876,1.0,pristine_mxene,10.0,13.3,single_or_few_layer,208.0,False,False
10.1002/smll.202202203,1.0,pristine_mxene,2.0,13.6,single_or_few_layer,376.0,False,False
10.1021/acsnano.2c03351,3.0,pristine_mxene,5.0,13.600000000000001,single_or_few_layer,287.9,False,False
10.1038/nenergy.2017.105,3.0,pristine_mxene,10.0,26.8,single_or_few_layer,310.0,False,False
10.1038/nenergy.2017.105,3.0,pristine_mxene,1000.0,26.8,single_or_few_layer,280.0,False,False
10.1038/nenergy.2017.105,3.0,pristine_mxene,1000.0,26.8,single_or_few_layer,125.0,False,False
10.1021/acsnano.3c11551,3.0,structured_pristine_mxene,10.0,14.0,delaminated,252.5,False,False
10.1002/smll.201804732,1.0,mxene_polymer_composite,5.0,39.3,delaminated,258.2,False,False
10.25259/ajc_264_2024,3.0,pristine_mxene,2.0,12.13,multilayer,315.5,False,False
