fold,k,ratio,gen_seed,n_train,bayesian_network,n_valid_returned,n_valid_requested
1,1,1.0,0,37,"[[""target_cap_F_g"", [""h2so4_M""]], [""interlayer_A"", [""target_cap_F_g""]], [""scan_rate_mV_s"", [""interlayer_A""]], [""composition_family"", [""target_cap_F_g""]], [""layer_class"", [""interlayer_A""]]]",37,37
1,1,3.0,0,37,"[[""target_cap_F_g"", [""h2so4_M""]], [""interlayer_A"", [""target_cap_F_g""]], [""scan_rate_mV_s"", [""interlayer_A""]], [""composition_family"", [""target_cap_F_g""]], [""layer_class"", [""interlayer_A""]]]",111,111
1,1,5.25,0,37,"[[""target_cap_F_g"", [""h2so4_M""]], [""interlayer_A"", [""target_cap_F_g""]], [""scan_rate_mV_s"", [""interlayer_A""]], [""composition_family"", [""target_cap_F_g""]], [""layer_class"", [""interlayer_A""]]]",194,194
1,2,1.0,0,37,"[[""target_cap_F_g"", [""h2so4_M""]], [""interlayer_A"", [""target_cap_F_g"", ""h2so4_M""]], [""scan_rate_mV_s"", [""interlayer_A"", ""target_cap_F_g""]], [""composition_family"", [""scan_rate_mV_s"", ""target_cap_F_g""]], [""layer_class"", [""scan_rate_mV_s"", ""target_cap_F_g""]]]",37,37
1,2,1.0,1,37,"[[""interlayer_A"", [""layer_class""]], [""target_cap_F_g"", [""interlayer_A"", ""layer_class""]], [""scan_rate_mV_s"", [""target_cap_F_g"", ""interlayer_A""]], [""composition_family"", [""scan_rate_mV_s"", ""target_cap_F_g""]], [""h2so4_M"", [""scan_rate_mV_s"", ""target_cap_F_g""]]]",37,37
1,2,1.0,2,37,"[[""interlayer_A"", [""layer_class""]], [""target_cap_F_g"", [""interlayer_A"", ""layer_class""]], [""scan_rate_mV_s"", [""target_cap_F_g"", ""interlayer_A""]], [""composition_family"", [""scan_rate_mV_s"", ""target_cap_F_g""]], [""h2so4_M"", [""scan_rate_mV_s"", ""target_cap_F_g""]]]",37,37
1,2,3.0,0,37,"[[""target_cap_F_g"", [""h2so4_M""]], [""interlayer_A"", [""target_cap_F_g"", ""h2so4_M""]], [""scan_rate_mV_s"", [""interlayer_A"", ""target_cap_F_g""]], [""composition_family"", [""scan_rate_mV_s"", ""target_cap_F_g""]], [""layer_class"", [""scan_rate_mV_s"", ""target_cap_F_g""]]]",111,111
1,2,3.0,1,37,"[[""interlayer_A"", [""layer_class""]], [""target_cap_F_g"", [""interlayer_A"", ""layer_class""]], [""scan_rate_mV_s"", [""target_cap_F_g"", ""interlayer_A""]], [""composition_family"", [""scan_rate_mV_s"", ""target_cap_F_g""]], [""h2so4_M"", [""scan_rate_mV_s"", ""target_cap_F_g""]]]",111,111
1,2,3.0,2,37,"[[""interlayer_A"", [""layer_class""]], [""target_cap_F_g"", [""interlayer_A"", ""layer_class""]], [""scan_rate_mV_s"", [""target_cap_F_g"", ""interlayer_A""]], [""composition_family"", [""scan_rate_mV_s"", ""target_cap_F_g""]], [""h2so4_M"", [""scan_rate_mV_s"", ""target_cap_F_g""]]]",111,111
1,2,5.25,0,37,"[[""target_cap_F_g"", [""h2so4_M""]], [""interlayer_A"", [""target_cap_F_g"", ""h2so4_M""]], [""scan_rate_mV_s"", [""interlayer_A"", ""target_cap_F_g""]], [""composition_family"", [""scan_rate_mV_s"", ""target_cap_F_g""]], [""layer_class"", [""scan_rate_mV_s"", ""target_cap_F_g""]]]",194,194
1,2,5.25,1,37,"[[""interlayer_A"", [""layer_class""]], [""target_cap_F_g"", [""interlayer_A"", ""layer_class""]], [""scan_rate_mV_s"", [""target_cap_F_g"", ""interlayer_A""]], [""composition_family"", [""scan_rate_mV_s"", ""target_cap_F_g""]], [""h2so4_M"", [""scan_rate_mV_s"", ""target_cap_F_g""]]]",194,194
1,2,5.25,2,37,"[[""interlayer_A"", [""layer_class""]], [""target_cap_F_g"", [""interlayer_A"", ""layer_class""]], [""scan_rate_mV_s"", [""target_cap_F_g"", ""interlayer_A""]], [""composition_family"", [""scan_rate_mV_s"", ""target_cap_F_g""]], [""h2so4_M"", [""scan_rate_mV_s"", ""target_cap_F_g""]]]",194,194
1,3,1.0,0,37,"[[""target_cap_F_g"", [""h2so4_M""]], [""interlayer_A"", [""target_cap_F_g"", ""h2so4_M""]], [""scan_rate_mV_s"", [""target_cap_F_g"", ""interlayer_A"", ""h2so4_M""]], [""composition_family"", [""interlayer_A"", ""scan_rate_mV_s"", ""target_cap_F_g""]], [""layer_class"", [""target_cap_F_g"", ""scan_rate_mV_s"", ""h2so4_M""]]]",37,37
1,3,3.0,0,37,"[[""target_cap_F_g"", [""h2so4_M""]], [""interlayer_A"", [""target_cap_F_g"", ""h2so4_M""]], [""scan_rate_mV_s"", [""target_cap_F_g"", ""interlayer_A"", ""h2so4_M""]], [""composition_family"", [""interlayer_A"", ""scan_rate_mV_s"", ""target_cap_F_g""]], [""layer_class"", [""target_cap_F_g"", ""scan_rate_mV_s"", ""h2so4_M""]]]",111,111
1,3,5.25,0,37,"[[""target_cap_F_g"", [""h2so4_M""]], [""interlayer_A"", [""target_cap_F_g"", ""h2so4_M""]], [""scan_rate_mV_s"", [""target_cap_F_g"", ""interlayer_A"", ""h2so4_M""]], [""composition_family"", [""interlayer_A"", ""scan_rate_mV_s"", ""target_cap_F_g""]], [""layer_class"", [""target_cap_F_g"", ""scan_rate_mV_s"", ""h2so4_M""]]]",194,194
2,1,1.0,0,37,"[[""interlayer_A"", [""target_cap_F_g""]], [""h2so4_M"", [""interlayer_A""]], [""layer_class"", [""interlayer_A""]], [""scan_rate_mV_s"", [""interlayer_A""]], [""composition_family"", [""target_cap_F_g""]]]",37,37
2,1,3.0,0,37,"[[""interlayer_A"", [""target_cap_F_g""]], [""h2so4_M"", [""interlayer_A""]], [""layer_class"", [""interlayer_A""]], [""scan_rate_mV_s"", [""interlayer_A""]], [""composition_family"", [""target_cap_F_g""]]]",111,111
2,1,5.25,0,37,"[[""interlayer_A"", [""target_cap_F_g""]], [""h2so4_M"", [""interlayer_A""]], [""layer_class"", [""interlayer_A""]], [""scan_rate_mV_s"", [""interlayer_A""]], [""composition_family"", [""target_cap_F_g""]]]",194,194
2,2,1.0,0,37,"[[""interlayer_A"", [""layer_class""]], [""h2so4_M"", [""interlayer_A"", ""layer_class""]], [""scan_rate_mV_s"", [""h2so4_M"", ""interlayer_A""]], [""target_cap_F_g"", [""scan_rate_mV_s"", ""interlayer_A""]], [""composition_family"", [""target_cap_F_g"", ""interlayer_A""]]]",37,37
2,2,1.0,1,37,"[[""interlayer_A"", [""scan_rate_mV_s""]], [""h2so4_M"", [""interlayer_A"", ""scan_rate_mV_s""]], [""target_cap_F_g"", [""interlayer_A"", ""scan_rate_mV_s""]], [""layer_class"", [""target_cap_F_g"", ""interlayer_A""]], [""composition_family"", [""target_cap_F_g"", ""interlayer_A""]]]",37,37
2,2,1.0,2,37,"[[""interlayer_A"", [""h2so4_M""]], [""scan_rate_mV_s"", [""interlayer_A"", ""h2so4_M""]], [""target_cap_F_g"", [""scan_rate_mV_s"", ""interlayer_A""]], [""layer_class"", [""target_cap_F_g"", ""interlayer_A""]], [""composition_family"", [""target_cap_F_g"", ""interlayer_A""]]]",37,37
