round,reason,n_rejected,n_generated,n_kept,fold,k,ratio,condition,gen_seed
0,none_rejected,0,53,53,1,1,1.0,B_real_plus_1.0x,0
0,none_rejected,0,138,138,1,1,3.0,C_real_plus_3.0x,0
0,none_rejected,0,234,234,1,1,5.25,D_real_plus_5.25x,0
0,none_rejected,0,53,53,1,2,1.0,B_real_plus_1.0x,0
0,none_rejected,0,53,53,1,2,1.0,B_real_plus_1.0x,1
0,none_rejected,0,53,53,1,2,1.0,B_real_plus_1.0x,2
0,none_rejected,0,138,138,1,2,3.0,C_real_plus_3.0x,0
0,none_rejected,0,138,138,1,2,3.0,C_real_plus_3.0x,1
0,none_rejected,0,138,138,1,2,3.0,C_real_plus_3.0x,2
0,none_rejected,0,234,234,1,2,5.25,D_real_plus_5.25x,0
0,none_rejected,0,234,234,1,2,5.25,D_real_plus_5.25x,1
0,none_rejected,0,234,234,1,2,5.25,D_real_plus_5.25x,2
0,none_rejected,0,53,53,1,3,1.0,B_real_plus_1.0x,0
0,none_rejected,0,138,138,1,3,3.0,C_real_plus_3.0x,0
0,none_rejected,0,234,234,1,3,5.25,D_real_plus_5.25x,0
0,none_rejected,0,53,53,2,1,1.0,B_real_plus_1.0x,0
0,none_rejected,0,138,138,2,1,3.0,C_real_plus_3.0x,0
0,none_rejected,0,234,234,2,1,5.25,D_real_plus_5.25x,0
0,none_rejected,0,53,53,2,2,1.0,B_real_plus_1.0x,0
0,none_rejected,0,53,53,2,2,1.0,B_real_plus_1.0x,1
0,none_rejected,0,53,53,2,2,1.0,B_real_plus_1.0x,2
0,none_rejected,0,138,138,2,2,3.0,C_real_plus_3.0x,0
0,none_rejected,0,138,138,2,2,3.0,C_real_plus_3.0x,1
0,none_rejected,0,138,138,2,2,3.0,C_real_plus_3.0x,2
0,none_rejected,0,234,234,2,2,5.25,D_real_plus_5.25x,0
0,none_rejected,0,234,234,2,2,5.25,D_real_plus_5.25x,1
0,none_rejected,0,234,234,2,2,5.25,D_real_plus_5.25x,2
0,none_rejected,0,53,53,2,3,1.0,B_real_plus_1.0x,0
0,none_rejected,0,138,138,2,3,3.0,C_real_plus_3.0x,0
0,none_rejected,0,234,234,2,3,5.25,D_real_plus_5.25x,0
0,none_rejected,0,54,54,3,1,1.0,B_real_plus_1.0x,0
0,none_rejected,0,142,142,3,1,3.0,C_real_plus_3.0x,0
0,none_rejected,0,240,240,3,1,5.25,D_real_plus_5.25x,0
0,none_rejected,0,54,54,3,2,1.0,B_real_plus_1.0x,0
0,none_rejected,0,54,54,3,2,1.0,B_real_plus_1.0x,1
0,none_rejected,0,54,54,3,2,1.0,B_real_plus_1.0x,2
0,none_rejected,0,142,142,3,2,3.0,C_real_plus_3.0x,0
0,none_rejected,0,142,142,3,2,3.0,C_real_plus_3.0x,1
0,none_rejected,0,142,142,3,2,3.0,C_real_plus_3.0x,2
0,none_rejected,0,240,240,3,2,5.25,D_real_plus_5.25x,0
0,none_rejected,0,240,240,3,2,5.25,D_real_plus_5.25x,1
0,none_rejected,0,240,240,3,2,5.25,D_real_plus_5.25x,2
0,none_rejected,0,54,54,3,3,1.0,B_real_plus_1.0x,0
0,none_rejected,0,142,142,3,3,3.0,C_real_plus_3.0x,0
0,none_rejected,0,240,240,3,3,5.25,D_real_plus_5.25x,0
0,none_rejected,0,54,54,4,1,1.0,B_real_plus_1.0x,0
0,none_rejected,0,142,142,4,1,3.0,C_real_plus_3.0x,0
0,none_rejected,0,240,240,4,1,5.25,D_real_plus_5.25x,0
0,none_rejected,0,54,54,4,2,1.0,B_real_plus_1.0x,0
0,none_rejected,0,54,54,4,2,1.0,B_real_plus_1.0x,1
0,none_rejected,0,54,54,4,2,1.0,B_real_plus_1.0x,2
0,none_rejected,0,142,142,4,2,3.0,C_real_plus_3.0x,0
0,none_rejected,0,142,142,4,2,3.0,C_real_plus_3.0x,1
0,none_rejected,0,142,142,4,2,3.0,C_real_plus_3.0x,2
0,none_rejected,0,240,240,4,2,5.25,D_real_plus_5.25x,0
0,none_rejected,0,240,240,4,2,5.25,D_real_plus_5.25x,1
0,none_rejected,0,240,240,4,2,5.25,D_real_plus_5.25x,2
0,none_rejected,0,54,54,4,3,1.0,B_real_plus_1.0x,0
0,none_rejected,0,142,142,4,3,3.0,C_real_plus_3.0x,0
0,none_rejected,0,240,240,4,3,5.25,D_real_plus_5.25x,0
0,none_rejected,0,54,54,5,1,1.0,B_real_plus_1.0x,0
0,none_rejected,0,142,142,5,1,3.0,C_real_plus_3.0x,0
0,none_rejected,0,240,240,5,1,5.25,D_real_plus_5.25x,0
0,none_rejected,0,54,54,5,2,1.0,B_real_plus_1.0x,0
0,none_rejected,0,54,54,5,2,1.0,B_real_plus_1.0x,1
0,none_rejected,0,54,54,5,2,1.0,B_real_plus_1.0x,2
0,none_rejected,0,142,142,5,2,3.0,C_real_plus_3.0x,0
0,none_rejected,0,142,142,5,2,3.0,C_real_plus_3.0x,1
0,none_rejected,0,142,142,5,2,3.0,C_real_plus_3.0x,2
0,none_rejected,0,240,240,5,2,5.25,D_real_plus_5.25x,0
0,none_rejected,0,240,240,5,2,5.25,D_real_plus_5.25x,1
0,none_rejected,0,240,240,5,2,5.25,D_real_plus_5.25x,2
0,none_rejected,0,54,54,5,3,1.0,B_real_plus_1.0x,0
0,none_rejected,0,142,142,5,3,3.0,C_real_plus_3.0x,0
0,none_rejected,0,240,240,5,3,5.25,D_real_plus_5.25x,0
