fold,k,ratio,gen_seed,variable,type,real_pearson_with_target,syn_pearson_with_target,pearson_abs_diff,real_spearman_with_target,syn_spearman_with_target,spearman_abs_diff,sign_preserved,real_eta_squared_on_target,syn_eta_squared_on_target,eta_squared_abs_diff
1,1,1.0,0,interlayer_A,continuous,-0.14570311657987187,-0.2202520953016273,0.07454897872175542,-0.4378524920655315,-0.43622569938359407,0.001626792681937439,True,,,
1,1,1.0,0,h2so4_M,categorical,,,,,,,,0.12519549999818516,0.23928896340950537,0.1140934634113202
1,1,1.0,0,composition_family,categorical,,,,,,,,0.8505225516427101,0.9138229985428644,0.06330044690015435
1,1,1.0,0,scan_rate_mV_s,categorical,,,,,,,,0.06900409425273982,0.1202705038060852,0.05126640955334538
1,1,1.0,0,layer_class,categorical,,,,,,,,0.0034540703970807876,0.004457068200184284,0.0010029978031034963
1,1,3.0,0,interlayer_A,continuous,-0.14570311657987187,-0.16131442402831705,0.015611307448445189,-0.4378524920655315,-0.292005967005967,0.14584652505956452,True,,,
1,1,3.0,0,h2so4_M,categorical,,,,,,,,0.12519549999818516,0.11259735577491622,0.012598144223268937
1,1,3.0,0,composition_family,categorical,,,,,,,,0.8505225516427101,0.7891315881602392,0.06139096348247086
1,1,3.0,0,scan_rate_mV_s,categorical,,,,,,,,0.06900409425273982,0.022375309185769663,0.04662878506697016
1,1,3.0,0,layer_class,categorical,,,,,,,,0.0034540703970807876,0.0029590586061152852,0.0004950117909655024
1,1,5.25,0,interlayer_A,continuous,-0.14570311657987187,-0.12382661104687526,0.02187650553299661,-0.4378524920655315,-0.2956424911555513,0.1422100009099802,True,,,
1,1,5.25,0,h2so4_M,categorical,,,,,,,,0.12519549999818516,0.1690736179114366,0.04387811791325144
1,1,5.25,0,composition_family,categorical,,,,,,,,0.8505225516427101,0.5214375211098394,0.32908503053287064
1,1,5.25,0,scan_rate_mV_s,categorical,,,,,,,,0.06900409425273982,0.028906446975646514,0.04009764727709331
1,1,5.25,0,layer_class,categorical,,,,,,,,0.0034540703970807876,0.0017054622210040402,0.0017486081760767474
1,2,1.0,0,interlayer_A,continuous,-0.14570311657987187,-0.13015616708373742,0.015546949496134443,-0.4378524920655315,-0.22735893788525366,0.21049355418027785,True,,,
