fold,k,ratio,gen_seed,condition,n_real_train,n_synthetic_train,n_total_train,n_test_papers,r2,mae,rmse,n_test
1,2,0.0,0,A_real_only,37,0,37,3,-2.870866900885982,94.52954040527344,111.75495397465649,10
1,2,1.0,0,B_real_plus_1.0x,37,37,74,3,-4.799842450593495,118.31832061767577,136.79516984989087,10
1,2,1.0,1,B_real_plus_1.0x,37,37,74,3,-3.514770307548222,104.56726623535155,120.69255880800131,10
1,2,1.0,2,B_real_plus_1.0x,37,37,74,3,-4.986128485769928,126.84163757324218,138.9746797538494,10
1,2,3.0,0,C_real_plus_3.0x,37,111,148,3,-3.9910679915414278,112.94385009765624,126.89935301413485,10
1,2,3.0,1,C_real_plus_3.0x,37,111,148,3,-2.360038120750923,82.52554565429688,104.12014569144324,10
1,2,3.0,2,C_real_plus_3.0x,37,111,148,3,-4.46628503851242,111.47710205078124,132.80328013545076,10
1,2,5.25,0,D_real_plus_5.25x,37,194,231,3,-4.10857799800497,106.873134765625,128.38452514434647,10
1,2,5.25,1,D_real_plus_5.25x,37,194,231,3,-2.261471949026117,75.90174194335938,102.58160472620794,10
1,2,5.25,2,D_real_plus_5.25x,37,194,231,3,-2.88217682478865,87.46902862548828,111.91809806573792,10
2,2,0.0,0,A_real_only,37,0,37,3,-6.176051748337985,161.6766064453125,179.83487490968076,10
2,2,1.0,0,B_real_plus_1.0x,37,37,74,3,-4.131166204735294,138.1295361328125,152.0684703241597,10
2,2,1.0,1,B_real_plus_1.0x,37,37,74,3,-2.7990017525824378,118.37218292236328,130.84763674147564,10
2,2,1.0,2,B_real_plus_1.0x,37,37,74,3,-5.9506856459256365,160.30170257568358,176.98846387907136,10
2,2,3.0,0,C_real_plus_3.0x,37,111,148,3,-10.762089089494905,199.34930999755858,230.2360726605986,10
2,2,3.0,1,C_real_plus_3.0x,37,111,148,3,-10.593188620568556,192.33859985351563,228.5770309112629,10
2,2,3.0,2,C_real_plus_3.0x,37,111,148,3,-2.955641089906469,120.94939392089843,133.51792550809972,10
2,2,5.25,0,D_real_plus_5.25x,37,194,231,3,-3.1327763968693745,126.13,136.47468182840262,10
2,2,5.25,1,D_real_plus_5.25x,37,194,231,3,-2.9681329719204363,119.31357391357422,133.7285835801515,10
2,2,5.25,2,D_real_plus_5.25x,37,194,231,3,-2.633804571992956,117.41649444580078,127.97110492471556,10
3,2,0.0,0,A_real_only,38,0,38,4,-0.29721623352055127,234.29948120117186,449.7030413721092,9
3,2,1.0,0,B_real_plus_1.0x,38,38,76,4,-0.26941617946258845,231.7081573486328,444.8582529933167,9
3,2,1.0,1,B_real_plus_1.0x,38,38,76,4,-0.37867310338458404,241.38097822401258,463.60732458542793,9
3,2,1.0,2,B_real_plus_1.0x,38,38,76,4,-0.310501625281701,242.4710238986545,451.99998381844074,9
3,2,3.0,0,C_real_plus_3.0x,38,114,152,4,-0.4324097405834333,254.6875651889377,472.5559873657945,9
3,2,3.0,1,C_real_plus_3.0x,38,114,152,4,-0.27794783165603465,227.92603759765623,446.3506792683059,9
3,2,3.0,2,C_real_plus_3.0x,38,114,152,4,-0.39226370565964985,254.2383782280816,465.8867812370965,9
3,2,5.25,0,D_real_plus_5.25x,38,200,238,4,-0.39079100845086456,234.6481309678819,465.6403151069529,9
3,2,5.25,1,D_real_plus_5.25x,38,200,238,4,-0.31686781775918993,241.63026970757377,453.09652299104204,9
3,2,5.25,2,D_real_plus_5.25x,38,200,238,4,-0.36262098293368017,232.700151570638,460.9004938680756,9
4,2,0.0,0,A_real_only,38,0,38,4,0.1516660452105748,85.58909606933594,103.56250740088844,9
4,2,1.0,0,B_real_plus_1.0x,38,38,76,4,-0.0017321230959885803,87.6064215766059,112.53689596986241,9
4,2,1.0,1,B_real_plus_1.0x,38,38,76,4,0.2873323975134028,78.6348893907335,94.9210732345831,9
4,2,1.0,2,B_real_plus_1.0x,38,38,76,4,-0.30606310784675395,102.01017083062067,128.49943343805577,9
4,2,3.0,0,C_real_plus_3.0x,38,114,152,4,-0.06399669598609892,96.163084242079,115.98164693616503,9
4,2,3.0,1,C_real_plus_3.0x,38,114,152,4,0.07970921576329848,93.36846923828125,107.86527828682988,9
4,2,3.0,2,C_real_plus_3.0x,38,114,152,4,-0.5188565249260724,114.84458923339844,138.57264523641345,9
4,2,5.25,0,D_real_plus_5.25x,38,200,238,4,-0.25495057513258446,99.01214090983073,125.95993931137752,9
4,2,5.25,1,D_real_plus_5.25x,38,200,238,4,0.07056967239127232,92.28275383843317,108.39956802219947,9
4,2,5.25,2,D_real_plus_5.25x,38,200,238,4,-0.40158918528957854,106.97100660536024,133.11576754708983,9
5,2,0.0,0,A_real_only,38,0,38,4,-0.3357670485411257,71.72383422851561,100.47757060523469,9
5,2,1.0,0,B_real_plus_1.0x,38,38,76,4,-0.2039477131591585,66.98142971462673,95.39103832778912,9
5,2,1.0,1,B_real_plus_1.0x,38,38,76,4,-0.47346835415656674,77.51885274251302,105.52957022837691,9
5,2,1.0,2,B_real_plus_1.0x,38,38,76,4,-0.3073911978593966,69.39091627332898,99.40461357497541,9
5,2,3.0,0,C_real_plus_3.0x,38,114,152,4,-0.2664217528645163,66.11771002875435,97.83470590492325,9
5,2,3.0,1,C_real_plus_3.0x,38,114,152,4,-0.6124404318098184,79.9197269015842,110.39403380447426,9
5,2,3.0,2,C_real_plus_3.0x,38,114,152,4,-0.34326922502830914,73.62095642089844,100.75933568646417,9
5,2,5.25,0,D_real_plus_5.25x,38,200,238,4,-0.3262052663364834,68.42841389973958,100.1173018942541,9
5,2,5.25,1,D_real_plus_5.25x,38,200,238,4,-0.37713324561642203,73.28438449435764,102.02150935880837,9
5,2,5.25,2,D_real_plus_5.25x,38,200,238,4,-0.35539896461366327,71.52828267415364,101.21324238724182,9
