k,condition,n_folds,r2_mean,r2_sd,r2_median,mae_mean,mae_sd,mae_median,rmse_mean,rmse_sd,rmse_median
2,A_real_only,5,-1.9056471772150139,2.6670262339466024,-0.3357670485411257,129.56371166992187,68.02100930230183,94.52954040527344,189.06658965251393,149.29219329113602,111.75495397465649
1,B_real_plus_1.0x,5,-2.1085765607514424,2.1577796633594595,-0.7640451434457187,141.5609493543837,66.8287247298227,121.12140136718749,203.66727763260644,154.23672270061323,149.33925456892203
2,B_real_plus_1.0x,5,-1.8763637235925565,2.274752310981018,-0.32826908839170726,130.94889907045717,65.4315228231498,116.57574147542317,190.20767770181845,148.5644814450483,132.15413613724718
3,B_real_plus_1.0x,5,-1.668845159509732,2.103566115298204,-0.23015256408652252,127.61168370903863,61.759354352349284,112.19622436523437,182.62841288094214,138.57079209076667,129.39443195921396
1,C_real_plus_3.0x,5,-1.0763076809434788,1.6029782584389136,-0.3068579233438786,120.94271624077692,71.46638913865206,102.99017673068576,176.36773058805653,154.5338371607024,120.97810008871583
2,C_real_plus_3.0x,5,-2.5304137762350223,3.4272783679458168,-0.407377136567548,138.6980212436252,69.75896922017282,102.31549926757812,200.82366010983046,150.2628364616906,121.27425961367628
3,C_real_plus_3.0x,5,-1.210147366006884,1.947226119164705,-0.2922046081499772,120.91904939778644,68.19920992275411,92.55122039794921,173.6013803285836,147.15090147008607,101.0182297934964
1,D_real_plus_5.25x,5,-1.1009461975006607,1.9100027789687883,-0.3811174283752268,121.33816288248697,80.22345504854648,100.99749755859375,179.26916172305195,167.54855254179537,118.81854351343819
2,D_real_plus_5.25x,5,-1.3801285390895797,1.47944009138844,-0.35675993638124487,123.57263389078776,65.53736817623187,99.42196711787471,186.1015505837736,153.4828723680788,122.4917582935556
3,D_real_plus_5.25x,5,-0.7661192459802117,1.3229772828279078,-0.33237302117202105,109.49834583197699,61.03263852407916,88.96057976616754,162.212236903818,139.24283912904136,104.19910997047303
