doi,source_file,year,n_rows,authors
10.1002/adfm.201705506,zhang2018.pdf,2018.0,5,Zhang et al.
10.1002/adfm.202102874,Reassembly-of-MXene-Hydrogels-into-Flexible-Films-towards-Compact-and-Ultrafast-Supercapacitors.pdf,2021.0,5,Wu et al.
10.1002/adma.201504705,boota2015.pdf,2016.0,3,Boota et al.
10.1002/adma.201701264,1399231.pdf,2016.0,4,Yan et al.
10.1002/adma.202304757,Advanced Materials - 2023 - Arslanoglu - 3D Assembly of MXene Networks using a Ceramic Backbone with Controlled Porosity.pdf,2023.0,4,Arslanoglu et al.
10.1002/advs.202305991,Advanced Science - 2023 - He - Wide Temperature All‐Solid‐State Ti3C2Tx Quantum Dots L‐Ti3C2Tx Fiber Supercapacitor with.pdf,2024.0,8,He et al.
10.1002/aelm.201700339,couly2017.pdf,2017.0,3,Couly et al.
10.1002/aelm.201800179,201807260933092014.pdf,2018.0,4,Huang et al.
10.1002/aenm.201601372,kurra2016.pdf,2016.0,1,Kurra et al.
10.1002/batt.201800014,10.1002@batt.201800014.pdf,2018.0,1,Navarro-Suárez et al.
10.1002/celc.202100558,ChemElectroChem - 2021 - Abdolhosseinzadeh - Coating Porous MXene Films with Tunable Porosity for High‐Performance.pdf,2021.0,4,Abdolhosseinzadeh et al.
10.1002/eem2.12876,Energy   Environ Materials - 2025 - Mehdi - Enhanced Electrochemical Performance and Theoretical Insights of.pdf,2025.0,5,Mehdi et al.
10.1002/slct.202200690,liu2022.pdf,2022.0,8,Xingmin Liu et al.
10.1002/smll.201802225,smll.201802225.pdf,2018.0,3,Wang et al.
10.1002/smll.201804732,smll.201804732.pdf,2019.0,4,Jizhen Zhang et al.
10.1002/smll.202202203,lv2022.pdf,2022.0,1,Ke Lv et al.
10.1002/smll.202205947,Small_2022_Guo_Thickness80_90Independent_Capacitive_Performance_of_Holey_Ti3C2Tx_Film_Prepared_through_a_Mild_Oxidation.pdf,2022.0,3,Guo et al.
10.1002/smsc.202500367,Small Science - 2025 - Li - Operando X‐Ray Diffraction Study of MXene Electrode Structure in Supercapacitors with Alkali.pdf,2025.0,1,Li et al.
10.1002/smtd.202500499,Small Methods - 2025 - Kouchi - StableTi3C2Tx MXene Ink Formulation and High‐Resolution Aerosol Jet Printing for.pdf,2025.0,2,Rajabi Kouchi et al.
10.1002/sus2.61,SusMat - 2022 - Chu - Boosting the energy density of aqueous MXene‐based supercapacitor by integrating 3D conducting.pdf,2022.0,1,Chu et al.
10.1007/s40820-024-01567-2,s40820-024-01567-2.pdf,2025.0,2,Eunji Kim et al.
10.1016/j.apmt.2019.06.013,1-s2.0-S2352940719303622-main.pdf,2019.0,3,Zhang et al.
10.1016/j.apsusc.2019.144250,1-s2.0-S0169433219330661-main.pdf,2020.0,1,Fu et al.
10.1016/j.carbon.2025.120021,1-s2.0-S0008622325000375-main.pdf,2025.0,3,Hailong Shen et al.
10.1016/j.carbpol.2022.120519,1-s2.0-S0144861722014242-main.pdf,2023.0,3,Yuan et al.
10.1016/j.ceramint.2020.05.247,1-s2.0-S0272884220315613-main.pdf,2020.0,2,Tianze Zhang et al.
10.1016/j.electacta.2022.139871,1-s2.0-S0013468622000433-main.pdf,2022.0,4,Luo et al.
10.1016/j.ensm.2023.103148,1-s2.0-S2405829723005251-main.pdf,2024.0,9,Spurling et al.
10.1016/j.jallcom.2021.161304,1-s2.0-S0925838821027134-main.pdf,2021.0,4,Lee et al.
10.1016/j.jallcom.2022.166647,1-s2.0-S0925838822030389-main.pdf,2022.0,9,Guozhen Guan et al.
10.1016/j.jallcom.2023.173355,1-s2.0-S0925838823046583-main.pdf,2024.0,5,Yangyang Luo et al.
10.1016/j.jobab.2021.10.001,1-s2.0-S2369969821000785-main.pdf,2022.0,1,Wei et al.
10.1021/acsanm.4c01912,an4c01912.pdf,2024.0,1,Yao et al.
10.1021/acsnano.2c03351,ma2022.pdf,2022.0,1,Ma et al.
10.1021/acsnano.3c11551,nn3c11551.pdf,2024.0,1,Sikdar et al.
10.1021/acsnano.9b07325,nn9b07325.pdf,2020.0,9,Orangi et al.
10.1021/acsnano.9b10066,acsnano.9b10066.pdf,2020.0,2,Zhou et al.
10.1038/nature13970,nature13970.pdf,2014.0,3,Ghidiu et al.
10.1038/nenergy.2017.105,nenergy2017105.pdf,2017.0,8,Lukatskaya et al.
10.1038/s41586-018-0109-z,s41586-018-0109-z.pdf,2018.0,8,Xia et al.
10.1039/c8dt04374d,c8dt04374d.pdf,2019.0,8,Li et al.
10.1039/c8nr01550c,c8nr01550c.pdf,2018.0,1,Fan et al.
10.1039/c8nr06014b,c8nr06014b.pdf,2018.0,2,Wang et al.
10.1039/d5ta06789h,d5ta06789h.pdf,2026.0,3,Duong et al.
10.1039/d6ta00010j,d6ta00010j.pdf,2026.0,15,Zifang Zhao et al.
10.20517/energymater.2024.45,em4045_down.pdf,2025.0,5,Yang et al.
10.25259/AJC_264_2024,UmNiN2dEUVBhcGowc2U1aUxJSk9aQT09.pdf,2025.0,2,Yu et al.
10.3390/molecules30020241,molecules-30-00241.pdf,2025.0,4,Liu et al.
,ssrn-5211970.pdf,,3,Shi et al.
