fold,variable,type,n_train_reported,n_test_reported,train_min,train_max,test_min,test_max,frac_test_inside_train_range,standardised_mean_diff,range_overlap_fraction,frac_test_unseen_level,n_train_levels,n_test_levels,test_target_sd,train_target_sd
1,interlayer_A,numeric,67,21,10.0,39.3,5.3,15.1,0.5714285714285714,-1.2161401546146657,0.15,,,,,
1,scan_rate_mV_s,numeric,67,21,2.0,2000.0,1.0,200.0,0.8571428571428571,-0.33371682207985964,0.09904952476238119,,,,,
1,current_density_A_g,numeric,30,5,0.5,10.0,0.5,20.0,0.8,0.5571920027463771,0.48717948717948717,,,,,
1,mass_loading_mg_cm2,numeric,41,14,0.35,16.5,0.14,7.2,0.9285714285714286,0.07358059476264275,0.41870415647921766,,,,,
1,electrode_thickness_um,numeric,43,11,0.09,10000.0,12.0,2000.0,1.0,0.04328332123109835,0.19880178921610295,,,,,
1,ssa_m2_g,numeric,23,12,1.5,79.8,8.2,1649.0,0.6666666666666666,0.48886975313559483,0.0434597875569044,,,,,
1,flake_size_um,numeric,11,0,0.219,1.3,,,,,,,,,,
1,pore_diameter_nm,numeric,3,1,3.0,50000.0,3.9,3.9,1.0,-0.577350442124472,0.0,,,,,
1,h2so4_M,numeric,91,20,1.0,3.0,0.5,3.0,0.55,-0.3055907107877366,0.8,,,,,
1,layer_class,categorical,76,19,,,,,,,,0.0,3.0,2.0,,
1,composition_family,categorical,94,24,,,,,,,,0.0,6.0,5.0,,
1,synthesis_family,categorical,94,24,,,,,,,,0.0,1.0,1.0,,
1,electrolyte_is_gel,categorical,94,24,,,,,,,,0.0,2.0,2.0,,
1,target_cap_F_g,target,94,24,7.26,1609.5,100.0,532.0,1.0,-0.09372538074284013,0.2696225284601558,,,,100.18356114609344,169.9399283283098
2,interlayer_A,numeric,67,21,5.3,39.3,12.5,17.1,1.0,0.2557623897935427,0.13529411764705887,,,,,
2,scan_rate_mV_s,numeric,70,18,1.0,2000.0,2.0,5.0,1.0,-0.3911337450530603,0.0015007503751875938,,,,,
2,current_density_A_g,numeric,29,6,0.5,20.0,1.0,1.0,1.0,-0.33425373361568306,0.0,,,,,
2,mass_loading_mg_cm2,numeric,48,7,0.14,16.5,1.0,1.67,1.0,-0.8036171879583154,0.04095354523227383,,,,,
2,electrode_thickness_um,numeric,48,6,0.09,2000.0,4.6,10000.0,0.8333333333333334,0.5509789544669479,0.1995417958761629,,,,,
2,ssa_m2_g,numeric,31,4,1.5,1649.0,4.79,19.898,1.0,-0.40995886465330256,0.009170257966616085,,,,,
2,flake_size_um,numeric,9,2,0.219,1.3,0.25,1.3,1.0,0.5029492509161821,0.971322849213691,,,,,
2,pore_diameter_nm,numeric,3,1,3.0,50000.0,4.81,4.81,1.0,-0.5773031540865706,0.0,,,,,
2,h2so4_M,numeric,90,21,0.5,3.0,1.0,3.0,1.0,-0.631786506430196,0.8,,,,,
2,layer_class,categorical,75,20,,,,,,,,0.0,3.0,2.0,,
2,composition_family,categorical,94,24,,,,,,,,0.0,6.0,4.0,,
2,synthesis_family,categorical,94,24,,,,,,,,0.0,1.0,1.0,,
2,electrolyte_is_gel,categorical,94,24,,,,,,,,0.0,2.0,2.0,,
2,target_cap_F_g,target,94,24,7.26,532.0,122.0,1609.5,0.9166666666666666,0.11844475378851012,0.25589175154783306,,,,300.0024688808434,94.84585379214151
3,interlayer_A,numeric,76,12,5.3,39.3,11.5,26.8,1.0,0.7639848283844715,0.45,,,,,
3,scan_rate_mV_s,numeric,67,21,1.0,200.0,2.0,2000.0,0.7619047619047619,0.7213430815383125,0.09904952476238119,,,,,
3,current_density_A_g,numeric,33,2,0.5,20.0,1.0,10.0,1.0,0.7821802731614779,0.46153846153846156,,,,,
3,mass_loading_mg_cm2,numeric,39,16,0.14,16.5,0.43,11.3,1.0,0.04512782681925216,0.6644254278728607,,,,,
3,electrode_thickness_um,numeric,35,19,0.75,10000.0,0.09,1000.0,0.9473684210526315,-0.2528523452629044,0.099925899333094,,,,,
3,ssa_m2_g,numeric,31,4,1.5,1649.0,8.4,65.4,1.0,-0.27832355328206704,0.03459787556904401,,,,,
3,flake_size_um,numeric,5,6,0.24,1.3,0.219,1.0,0.3333333333333333,-0.573923437382122,0.7030527289546716,,,,,
3,pore_diameter_nm,numeric,3,1,3.0,4.81,50000.0,50000.0,0.0,55244.02466406123,0.0,,,,,
3,h2so4_M,numeric,87,24,0.5,3.0,1.0,3.0,1.0,1.3470544108375873,0.8,,,,,
3,layer_class,categorical,76,19,,,,,,,,0.0,3.0,3.0,,
3,composition_family,categorical,94,24,,,,,,,,0.041666666666666664,5.0,5.0,,
3,synthesis_family,categorical,94,24,,,,,,,,0.0,1.0,1.0,,
3,electrolyte_is_gel,categorical,94,24,,,,,,,,0.0,2.0,2.0,,
3,target_cap_F_g,target,94,24,74.0,1609.5,7.26,450.0,0.9166666666666666,-0.05328954746820224,0.2346714599560615,,,,113.10119161586024,167.99217119730608
4,interlayer_A,numeric,73,15,5.3,39.3,10.95,14.8,1.0,0.012329061681014683,0.1132352941176471,,,,,
4,scan_rate_mV_s,numeric,80,8,1.0,2000.0,2.0,10.0,1.0,-0.3559456244037662,0.00400200100050025,,,,,
4,current_density_A_g,numeric,20,15,0.5,20.0,0.5,1.0,1.0,-0.44158612690524957,0.02564102564102564,,,,,
4,mass_loading_mg_cm2,numeric,44,11,0.14,11.3,1.0,16.5,0.9090909090909091,0.6110375612227031,0.6295843520782397,,,,,
4,electrode_thickness_um,numeric,44,10,0.09,10000.0,5.0,75.0,1.0,-0.31305060519041134,0.007000063000567006,,,,,
4,ssa_m2_g,numeric,27,8,4.79,1649.0,1.5,79.8,0.75,-0.2782771317173083,0.04552959028831562,,,,,
4,flake_size_um,numeric,9,2,0.219,1.3,0.24,0.28,1.0,-0.9661065159263699,0.037002775208140645,,,,,
4,pore_diameter_nm,numeric,3,1,3.9,50000.0,3.0,3.0,0.0,-0.5773972117834832,0.0,,,,,
4,h2so4_M,numeric,88,23,0.5,3.0,1.0,3.0,1.0,-0.4116851963233306,0.8,,,,,
4,layer_class,categorical,74,21,,,,,,,,0.0,3.0,3.0,,
4,composition_family,categorical,95,23,,,,,,,,0.0,6.0,3.0,,
4,synthesis_family,categorical,95,23,,,,,,,,0.0,1.0,1.0,,
4,electrolyte_is_gel,categorical,95,23,,,,,,,,0.0,2.0,1.0,,
