variable,role,n,n_groups,eta_squared,icc1,between_sd,within_sd,mean_within_paper_purity
target_cap_F_g,target,118,40,0.6446857254249395,0.4742418575006165,219.69832752279325,115.33046779544182,
interlayer_A,descriptor,88,32,0.969739441011084,0.9545941712593025,7.7742800206005995,1.0217813139666596,
scan_rate_mV_s,descriptor,88,29,0.6720850606723534,0.5258973243141233,562.8123458197615,270.82272643288707,
current_density_A_g,descriptor,35,16,1.0000000000000002,1.0000000000000002,5.308394071566995,0.0,
mass_loading_mg_cm2,descriptor,55,19,0.4999055357777498,0.2632913599392509,3.4694429410191567,2.4537301661745663,
electrode_thickness_um,descriptor,54,20,0.9692851870616442,0.9550929239996259,2268.2127586114666,301.83477927470926,
ssa_m2_g,descriptor,35,17,0.989145786298327,0.9804435468995486,398.13236752998336,39.32061089772609,
flake_size_um,descriptor,11,6,0.726730402197335,0.4926226339346909,0.5418701286873417,0.3322800024076081,
pore_diameter_nm,descriptor,4,4,1.0,,24998.048344254632,,
h2so4_M,descriptor,111,38,0.9999999999999999,0.9999999999999999,1.7393104600824507,1.3952392005459136e-08,
layer_class,descriptor,95,35,,,,,1.0
composition_family,descriptor,118,40,,,,,0.846547619047619
synthesis_family,descriptor,118,40,,,,,1.0
electrolyte_is_gel,descriptor,118,40,,,,,0.996875
