paper_id,n_rows,cap_mean,cap_median,cap_sd,cap_min,cap_max,cap_range,n_descriptors_reported,interlayer_A__median,interlayer_A__n,scan_rate_mV_s__median,scan_rate_mV_s__n,current_density_A_g__median,current_density_A_g__n,mass_loading_mg_cm2__median,mass_loading_mg_cm2__n,electrode_thickness_um__median,electrode_thickness_um__n,ssa_m2_g__median,ssa_m2_g__n,flake_size_um__median,flake_size_um__n,pore_diameter_nm__median,pore_diameter_nm__n,h2so4_M__median,h2so4_M__n,layer_class__mode,layer_class__n_levels,composition_family__mode,composition_family__n_levels,synthesis_family__mode,synthesis_family__n_levels,electrolyte_is_gel__mode,electrolyte_is_gel__n_levels
10.1016/j.jallcom.2023.173355,2,1049.4,1049.4,792.1010162851705,489.3,1609.5,1120.2,7,12.649999999999999,2,2.0,2,,0,,0,,0,,0,,0,,0,3.0,2,single_or_few_layer,1,doped_mxene,2,LiF_HCl_MILD,1,False,1
10.1002/smll.201802225,1,532.0,532.0,,532.0,532.0,0.0,6,12.6,1,,0,,0,,0,,0,,0,,0,,0,3.0,1,delaminated,1,mxene_carbon_composite,1,LiF_HCl_MILD,1,False,1
10.3390/molecules30020241,2,473.5,473.5,260.92240225783604,289.0,658.0,369.0,10,13.2,2,,0,1.0,2,1.6,2,,0,15.99,2,0.775,2,4.81,1,,0,delaminated,1,pristine_mxene,1,LiF_HCl_MILD,1,False,1
10.1021/acsanm.4c01912,1,390.0,390.0,,390.0,390.0,0.0,8,13.3,1,,0,1.0,1,,0,,0,19.5,1,,0,,0,1.0,1,single_or_few_layer,1,pristine_mxene,1,LiF_HCl_MILD,1,False,1
10.1016/j.apmt.2019.06.013,3,356.6666666666667,378.0,70.46512139586032,278.0,414.0,136.0,10,11.0,3,1.0,3,1.0,3,,0,43.0,2,45.1,3,,0,,0,3.0,3,single_or_few_layer,1,pristine_mxene,1,LiF_HCl_MILD,1,False,1
10.1002/smll.202202203,1,376.0,376.0,,376.0,376.0,0.0,7,13.6,1,2.0,1,,0,,0,,0,,0,,0,,0,1.0,1,single_or_few_layer,1,pristine_mxene,1,LiF_HCl_MILD,1,False,1
10.25259/ajc_264_2024,2,375.75,375.75,85.20636713297898,315.5,436.0,120.5,9,12.99,2,2.0,1,1.0,1,,0,,0,32.63,2,,0,,0,3.0,2,multilayer,1,mxene_carbon_composite,2,LiF_HCl_MILD,1,False,1
10.1016/j.jobab.2021.10.001,1,362.0,362.0,,362.0,362.0,0.0,7,,0,,0,0.5,1,,0,,0,1649.0,1,,0,,0,1.0,1,single_or_few_layer,1,mxene_carbon_composite,1,LiF_HCl_MILD,1,False,1
10.20517/energymater.2024.45,5,344.54,360.3,54.79546514083076,258.8,396.4,137.59999999999997,10,12.6,5,5.0,5,1.0,5,1.22,5,4.47,5,,0,,0,,0,3.0,5,single_or_few_layer,1,mxene_carbon_composite,2,LiF_HCl_MILD,1,False,1
10.1016/j.carbon.2025.120021,3,370.6666666666667,358.0,48.26316746063538,330.0,424.0,94.0,9,12.85,2,2.0,3,,0,1.69,3,7.0,3,,0,,0,,0,2.0,3,single_or_few_layer,1,pristine_mxene,1,LiF_HCl_MILD,1,False,1
