identity,paper_id,C_g,reported,predicted,relative_error
C_A = C_g * m_A,10.1016/j.carbon.2025.120021,424.0,0.717,0.71656,0.0006136680613668005
C_A = C_g * m_A,10.1016/j.carbon.2025.120021,358.0,0.759,0.7589600000000001,5.2700922266046085e-05
C_A = C_g * m_A,10.1016/j.carbon.2025.120021,330.0,0.396,0.396,0.0
C_A = C_g * m_A,10.1016/j.ceramint.2020.05.247,234.0,0.316,0.3159,0.0003164556962024968
C_A = C_g * m_A,10.1016/j.ceramint.2020.05.247,340.0,0.459,0.4590000000000001,1.209393273012153e-16
C_A = C_g * m_A,10.1016/j.ensm.2023.103148,280.0,1.4,0.588,0.58
C_A = C_g * m_A,10.1016/j.ensm.2023.103148,292.0,0.93,0.9344000000000001,0.004731182795699
C_A = C_g * m_A,10.1016/j.ensm.2023.103148,289.0,0.92,0.9248000000000001,0.005217391304347854
C_A = C_g * m_A,10.1016/j.ensm.2023.103148,300.0,0.96,0.96,0.0
C_A = C_g * m_A,10.1016/j.ensm.2023.103148,277.0,0.89,0.8864000000000001,0.004044943820224647
C_A = C_g * m_A,10.1016/j.ensm.2023.103148,100.0,0.9,0.32,0.6444444444444445
C_A = C_g * m_A,10.1016/j.ensm.2023.103148,286.0,1.26,1.2584000000000002,0.00126984126984113
C_A = C_g * m_A,10.1016/j.ensm.2023.103148,261.0,1.51,1.5138,0.0025165562913907454
C_A = C_g * m_A,10.1016/j.ensm.2023.103148,240.0,1.4,1.728,0.23428571428571435
C_A = C_g * m_A,10.1021/acsnano.9b10066,140.0,0.049,0.049,0.0
C_A = C_g * m_A,10.1002/adma.202304757,7.26,7.24,0.0176418,0.9975632872928177
C_A = C_g * m_A,10.1039/c8nr01550c,288.0,0.3,0.28800000000000003,0.039999999999999855
C_A = C_g * m_A,10.1039/c8nr06014b,438.0,0.061,0.061320000000000006,0.00524590163934439
C_A = C_g * m_A,10.1002/celc.202100558,153.0,0.193,0.19278,0.0011398963730569842
C_A = C_g * m_A,10.1002/celc.202100558,169.0,0.213,0.21294,0.0002816901408450915
C_A = C_g * m_A,10.1002/celc.202100558,192.0,0.241,0.24192000000000002,0.0038174273858922487
C_A = C_g * m_A,10.1002/celc.202100558,110.0,0.138,0.1386,0.004347826086956445
C_A = C_g * m_A,10.1039/d5ta06789h,234.5,0.23450000000000001,0.23450000000000001,0.0
C_A = C_g * m_A,10.1039/d5ta06789h,146.9,0.1469,0.1469,0.0
C_A = C_g * m_A,10.1039/d5ta06789h,219.1,0.2191,0.2191,0.0
C_A = C_g * m_A,10.1039/d6ta00010j,240.77,0.26483999999999996,0.26484700000000005,2.6431052711411677e-05
C_A = C_g * m_A,10.3390/molecules30020241,289.0,0.46,0.46240000000000003,0.005217391304347854
C_A = C_g * m_A,10.3390/molecules30020241,658.0,1.05,1.0528,0.002666666666666584
C_A = C_g * m_A,10.1038/nature13970,245.0,0.45,0.45325,0.007222222222222166
C_A = C_g * m_A,10.1038/nature13970,182.0,1.6,1.6016000000000001,0.0010000000000000286
C_A = C_g * m_A,10.1038/nature13970,161.0,2.66,2.6565,0.0013157894736843159
C_A = C_g * m_A,10.1038/nenergy.2017.105,380.0,0.45,0.456,0.013333333333333345
C_A = C_g * m_A,10.1038/nenergy.2017.105,370.0,1.95,1.961,0.005641025641025703
C_A = C_g * m_A,10.1038/nenergy.2017.105,354.0,4.0,4.0002,5.0000000000105516e-05
C_A = C_g * m_A,10.1038/nenergy.2017.105,310.0,0.135,0.1333,0.012592592592592645
C_A = C_g * m_A,10.1038/nenergy.2017.105,280.0,0.23,0.252,0.09565217391304344
C_A = C_g * m_A,10.1038/nenergy.2017.105,125.0,0.54,0.5375,0.004629629629629736
C_A = C_g * m_A,10.1038/s41586-018-0109-z,256.0,0.93,0.9216000000000001,0.009032258064516088
C_A = C_g * m_A,10.1038/s41586-018-0109-z,268.0,1.53,1.6508800000000001,0.07900653594771248
C_V = C_g * m_A / t,10.1016/j.carbon.2025.120021,424.0,1023.0,1023.6571428571428,0.0006423683843038555
C_V = C_g * m_A / t,10.1016/j.carbon.2025.120021,358.0,949.0,948.7000000000002,0.0003161222339302854
C_V = C_g * m_A / t,10.1016/j.carbon.2025.120021,330.0,789.0,788.8446215139443,0.00019693090754844658
C_V = C_g * m_A / t,10.1016/j.apsusc.2019.144250,166.0,601.0,602.6521739130435,0.002749041452651411
C_V = C_g * m_A / t,10.1016/j.ceramint.2020.05.247,340.0,918.0,918.0000000000001,1.238418711564445e-16
C_V = C_g * m_A / t,10.1016/j.ensm.2023.103148,280.0,29.0,29.4,0.013793103448275813
C_V = C_g * m_A / t,10.1016/j.ensm.2023.103148,292.0,5.0,4.672,0.06560000000000006
C_V = C_g * m_A / t,10.1016/j.ensm.2023.103148,289.0,19.0,18.496,0.026526315789473755
C_V = C_g * m_A / t,10.1016/j.ensm.2023.103148,300.0,49.0,48.0,0.02040816326530612
C_V = C_g * m_A / t,10.1016/j.ensm.2023.103148,277.0,90.0,88.64,0.015111111111111105
C_V = C_g * m_A / t,10.1016/j.ensm.2023.103148,100.0,180.0,64.0,0.6444444444444445
C_V = C_g * m_A / t,10.1016/j.ensm.2023.103148,286.0,63.0,62.92,0.0012698412698412427
C_V = C_g * m_A / t,10.1016/j.ensm.2023.103148,261.0,76.0,75.69,0.004078947368421082
C_V = C_g * m_A / t,10.1016/j.ensm.2023.103148,240.0,140.0,86.39999999999999,0.3828571428571429
C_V = C_g * m_A / t,10.1021/acsnano.9b10066,140.0,490.0,490.0,0.0
C_V = C_g * m_A / t,10.1002/adma.201504705,416.0,1000.0,297.6,0.7024
C_V = C_g * m_A / t,10.1039/c8nr01550c,288.0,1094.0,221.53846153846155,0.7974968358880608
C_V = C_g * m_A / t,10.1039/d6ta00010j,240.77,44.06,21.744417077175697,0.5064816823155766
C_V = C_g * m_A / t,10.20517/energymater.2024.45,258.8,847.6,706.34451901566,0.1666534697785984
C_V = C_g * m_A / t,10.20517/energymater.2024.45,325.7,1290.0,1253.4826498422713,0.028308023378084298
C_V = C_g * m_A / t,10.20517/energymater.2024.45,360.3,1032.0,981.9334763948498,0.04851407326080448
C_V = C_g * m_A / t,10.1038/nature13970,245.0,900.0,906.5,0.007222222222222222
C_V = C_g * m_A / t,10.1038/nature13970,182.0,534.0,533.8666666666667,0.00024968789013731413
C_V = C_g * m_A / t,10.1038/nature13970,161.0,355.0,354.20000000000005,0.002253521126760435
C_V = C_g * m_A / t,10.1038/nenergy.2017.105,380.0,1500.0,1520.0,0.013333333333333334
C_V = C_g * m_A / t,10.1038/nenergy.2017.105,370.0,1500.0,1508.4615384615383,0.005641025641025559
C_V = C_g * m_A / t,10.1038/nenergy.2017.105,354.0,1000.0,1000.0500000000001,5.000000000006821e-05
C_V = C_g * m_A / t,10.1038/nenergy.2017.105,310.0,103.0,102.53846153846153,0.00448095593726667
C_V = C_g * m_A / t,10.1038/nenergy.2017.105,280.0,101.0,100.8,0.0019801980198020084
C_V = C_g * m_A / t,10.1038/nenergy.2017.105,125.0,30.0,29.861111111111114,0.004629629629629524
C_V = C_g * m_A / t,10.1002/adfm.202102874,31.0,125.0,122.96666666666665,0.016266666666666766
C_V = C_g * m_A / t,10.1002/adfm.202102874,295.0,978.0,977.7142857142857,0.00029214139643592477
C_V = C_g * m_A / t,10.1038/s41586-018-0109-z,256.0,38.0,37.61632653061225,0.010096670247046097
C_V = C_g * m_A / t,10.1038/s41586-018-0109-z,268.0,48.0,51.59,0.07479166666666674
