rank,encoded_feature,source_descriptor,mean_abs_shap,mean_shap,max_abs_shap,normalized_importance
1,h2so4_M,h2so4_M,22.374712,0.1038467,49.38315,0.19927603
2,scan_rate_mV_s,scan_rate_mV_s,17.872135,-0.027359445,54.98885,0.1591747
3,composition_family_doped_mxene,composition_family,12.978917,-0.5237387,253.12384,0.1155942
4,interlayer_A,interlayer_A,11.78357,-0.552819,74.24441,0.10494808
5,composition_family_pristine_mxene,composition_family,9.033233,0.10235907,34.44935,0.08045273
6,ssa_m2_g,ssa_m2_g,7.84781,0.69290316,35.895657,0.06989499
7,electrode_thickness_um,electrode_thickness_um,5.1405225,-0.458451,21.309177,0.045783065
8,layer_class_single_or_few_layer,layer_class,5.0734277,-0.4012989,11.602689,0.0451855
9,current_density_A_g,current_density_A_g,3.2250204,-0.2978246,10.765311,0.028723018
10,electrolyte_is_gel_False,electrolyte_is_gel,2.8375514,0.15019834,27.928354,0.0252721
11,layer_class_delaminated,layer_class,2.4165313,-0.18259032,7.338306,0.021522367
12,layer_class___missing__,layer_class,2.3540876,0.22020626,7.908824,0.020966224
13,mass_loading_mg_cm2,mass_loading_mg_cm2,2.327002,0.5567409,11.807941,0.020724991
14,electrolyte_is_gel_True,electrolyte_is_gel,1.5875425,-0.035909407,16.884832,0.014139139
15,pore_diameter_nm,pore_diameter_nm,1.4275897,-0.04722815,33.996674,0.01271455
16,composition_family_structured_pristine_mxene,composition_family,1.2122868,-0.041889824,9.18181,0.010796997
17,composition_family_mxene_polymer_composite,composition_family,0.94579166,0.08675692,7.4723115,0.00842351
18,composition_family_mxene_carbon_composite,composition_family,0.88156646,-0.07676381,3.5406344,0.0078515
19,flake_size_um,flake_size_um,0.49214122,0.020405017,7.4902487,0.0043831603
20,layer_class_multilayer,layer_class,0.4685488,0.043699734,3.7425838,0.004173039
21,composition_family_mxene_inorganic_composite,composition_family,0.0,0.0,0.0,0.0
