paper_id,target_cap_F_g,interlayer_A,scan_rate_mV_s,current_density_A_g,mass_loading_mg_cm2,electrode_thickness_um,ssa_m2_g,flake_size_um,pore_diameter_nm,h2so4_M,layer_class___missing__,layer_class_delaminated,layer_class_multilayer,layer_class_single_or_few_layer,composition_family_doped_mxene,composition_family_mxene_carbon_composite,composition_family_mxene_inorganic_composite,composition_family_mxene_polymer_composite,composition_family_pristine_mxene,composition_family_structured_pristine_mxene,electrolyte_is_gel_False,electrolyte_is_gel_True
10.1016/j.carbon.2025.120021,424.0,-1.7714523,18.8614,-1.2751902,5.772152,-2.344887,-1.2911985,0.1844478,-0.6469795,37.910236,1.8906372,-0.71677166,0.42961589,8.590328,-6.603408,-0.41982472,0.0,1.0373045,-6.1653104,-0.67181724,1.740491,1.0300155
10.1016/j.carbon.2025.120021,358.0,-6.664372,19.439232,-1.3670912,4.7062044,-3.3707135,-1.4072268,0.11935991,-0.6472859,38.810528,1.8645699,-0.5473301,0.48484337,8.695541,-6.6181235,-0.41966915,0.0,0.8065128,-6.146174,-0.9000187,1.7393233,1.0300155
10.1016/j.carbon.2025.120021,330.0,13.889262,16.516657,-0.24467379,2.2538033,-8.674402,-0.36763406,0.0961067,-0.6344414,36.74124,1.8834407,-0.82998896,0.3272242,7.005072,-6.58423,-0.55292994,0.0,0.5962072,-9.908651,-0.42352247,1.765384,1.0558575
10.1016/j.electacta.2022.139871,201.0,5.9866896,15.859593,6.185736,0.35555023,3.0522923,-14.163475,-0.08989554,-0.9038158,-21.674967,1.2820892,-3.1736302,-3.3181198,-3.7319312,-7.023266,-0.5380779,0.0,0.36085466,-10.027397,-0.8010166,1.2078421,0.7017315
10.1016/j.electacta.2022.139871,239.0,-6.9649405,4.840861,4.001407,-0.06400102,-2.3863645,-8.699081,0.04663456,-0.8603105,-19.027046,1.262892,-2.6283283,-2.3503058,-2.4619482,-6.9902635,-0.6146043,0.0,-0.70944905,9.284814,-0.982252,1.3709631,0.74281234
10.1016/j.electacta.2022.139871,425.7,10.158047,-10.699583,-1.5889438,0.16801037,12.458055,1.8906689,0.19097194,-0.70575684,-10.924066,1.6769674,-1.5984317,-0.25899613,-1.8675282,-7.11942,-0.6766418,0.0,1.0036011,15.794791,-0.5487071,1.5807036,0.75206447
10.1016/j.electacta.2022.139871,243.0,-6.5687985,7.107185,4.0485353,0.031844176,-6.4086056,-8.826013,0.04663456,-0.8638028,-19.156683,1.1452093,-2.6407762,-2.3503058,-2.5233734,-6.991895,-0.6146043,0.0,-0.7296554,8.25206,-0.9957442,1.3849704,0.7262829
10.1016/j.carbpol.2022.120519,221.0,-13.043032,14.39422,-3.7281368,-0.79034007,3.2270794,-6.084042,-0.074861154,-0.8332053,-24.059435,1.4671345,5.986851,0.33927882,-5.626833,-7.023569,-0.4445375,0.0,0.38920683,-4.9207006,-1.290085,1.3628033,0.7009849
10.1016/j.carbpol.2022.120519,122.0,-16.045134,12.516125,-2.9842756,-0.44840804,3.2193663,-6.3926153,0.31380138,-0.7903048,-25.395061,1.5132364,5.845894,0.27097774,-6.175425,-6.9918976,1.6638044,0.0,0.48571217,8.643439,-1.4409133,1.4336283,0.7152593
10.1016/j.carbpol.2022.120519,356.0,-16.045134,12.516125,-2.9842756,-0.44840804,3.2193663,-6.3926153,0.31380138,-0.7903048,-25.395061,1.5132364,5.845894,0.27097774,-6.175425,-6.9918976,1.6638044,0.0,0.48571217,8.643439,-1.4409133,1.4336283,0.7152593
10.1016/j.apsusc.2019.144250,166.0,-5.2893076,10.158657,1.9937172,-3.8437486,-21.309177,-4.3175864,-0.1468991,-0.79689896,22.933424,1.4667215,1.9459802,0.4735139,-6.8084574,-6.712232,-0.9827007,0.0,0.13669391,-11.818072,-0.5200603,1.4682046,0.8954494
10.1016/j.ceramint.2020.05.247,234.0,-11.669685,13.899375,-3.0030558,1.8011776,2.4655008,-5.144875,-0.2233516,-0.78560126,-23.041862,-3.923234,-2.622877,0.6991141,-6.454458,-7.061327,-0.43153358,0.0,0.4812836,-4.768253,-1.1984437,1.394214,0.74829894
10.1016/j.ceramint.2020.05.247,340.0,-13.896522,6.123527,-1.1761893,-0.5848025,-4.673744,-5.0163774,0.11907177,-0.50993264,-17.971464,1.2051529,-1.8191673,-2.4428806,-5.1669464,253.12384,-0.39056307,0.0,-0.12954974,8.329458,-1.037056,1.0011842,0.50206476
10.1016/j.jallcom.2021.161304,227.0,20.538393,10.026921,-3.0316367,0.6473607,2.192,-6.5241117,-0.07868057,-0.7557042,-19.061983,-4.3325367,-2.6983876,0.32674247,-4.844928,-7.022136,-0.5935231,0.0,0.30394533,-8.259002,-0.6168135,1.3091332,0.74419487
10.1016/j.jallcom.2021.161304,238.0,-11.325626,13.496879,-3.5842671,-1.213126,2.5985348,-5.6307864,-0.13839884,-0.78900087,-24.184591,-4.277021,-2.62202,0.30097085,-6.0232244,-7.1116767,-0.55107176,0.0,0.50200814,-4.9741206,-1.1984437,1.3151959,0.7105797
10.1016/j.jallcom.2021.161304,307.0,-3.6567152,12.677419,-4.6238794,0.3818445,2.876861,25.403015,0.18213397,-0.7915085,-18.004927,-5.470075,-1.7344968,0.20502982,-5.193656,-6.8184423,-0.5731572,0.0,0.83870924,9.468444,5.359791,1.7447985,0.7864896
10.1016/j.jallcom.2022.166647,311.0,8.4027815,19.50617,6.3490696,6.3339543,4.763417,-6.2226887,-0.25166526,-0.8754334,-23.279627,1.123243,-2.8092809,0.7087901,4.192078,-6.8706956,-0.3704213,0.0,1.0473912,-3.6610782,-0.8007666,1.3986214,0.7775852
10.1016/j.jallcom.2022.166647,385.0,-4.4997907,20.774206,7.9799995,3.6996872,3.6685238,29.368877,0.121206634,31.956028,-16.507261,1.5322622,-1.2745246,0.47779047,4.7376657,-6.2364244,-0.1694551,0.0,1.2274977,6.6487694,5.734069,1.602239,0.7799054
10.1016/j.jallcom.2022.166647,303.0,-9.555907,16.284502,4.902672,6.6714597,3.9552338,-6.4160404,0.1297104,-0.8123092,-25.941072,1.0951904,-2.1728265,0.87262285,5.3016067,-6.8489814,-0.23499359,0.0,1.1048609,7.705112,9.18181,1.4485655,0.76113945
10.1016/j.jallcom.2022.166647,340.0,-0.8930439,20.706945,7.2159986,3.4209924,3.4851694,29.845833,0.16340245,-0.8711736,-17.903381,1.5783874,-1.459994,0.5012201,4.0794544,-6.5216208,-0.3807693,0.0,1.2274977,6.5276413,5.341908,1.8143166,0.84167296
10.1016/j.jallcom.2022.166647,353.0,-8.896079,18.54677,7.2281766,3.7596047,3.9081733,29.696108,0.11926746,-0.84983355,-18.310555,1.5783874,-1.2565272,0.6445012,5.0322967,-6.569746,-0.22505565,0.0,0.9967058,7.0476217,7.6464586,1.7882403,0.82049
10.1016/j.jallcom.2022.166647,325.0,-10.004231,19.536709,6.867148,2.7716224,3.3628302,27.905775,0.1429244,-0.8521073,-17.208721,1.4811131,-1.328555,0.5012201,4.553874,-6.5843263,-0.23109375,0.0,1.140264,7.0405226,6.498738,1.8078992,0.8405958
10.1016/j.jallcom.2022.166647,325.0,-8.92842,18.497145,6.872541,3.6804545,3.9081733,28.836597,0.11926746,-0.85010517,-18.510145,1.4811131,-1.2565272,0.6445012,4.965172,-6.5732427,-0.22505565,0.0,0.9967058,7.0476217,7.529551,1.8322701,0.8405958
10.1016/j.jallcom.2023.173355,489.3,52.779285,37.314568,-0.3616189,1.5911007,12.049775,2.3546495,0.12651,-0.6687636,49.38315,2.7862532,-1.234363,0.28977123,8.87326,-6.65514,-0.062957555,0.0,1.4553068,-15.316038,-0.41957197,1.6526264,0.9542724
10.1016/j.jallcom.2023.173355,1609.5,74.24441,30.826374,3.0089188,3.6226025,13.312493,2.505309,0.33340347,-0.4269951,49.229965,2.9399917,-1.1350378,0.18793586,11.602689,240.13704,0.032241385,0.0,2.1069798,34.44935,-0.2027955,1.2976034,0.7103521
10.1016/j.apmt.2019.06.013,278.0,-5.547899,18.754675,2.6678255,0.43453842,-7.060576,-13.48214,0.14757994,-0.7822983,29.993153,1.7578462,-1.097493,0.21466985,5.230495,-6.6643977,-0.5515364,0.0,0.9321483,-8.075539,-0.55906993,1.4858007,0.8729307
10.1016/j.apmt.2019.06.013,378.0,13.877957,22.253504,6.673262,4.3416576,-16.814917,23.569876,-0.17351452,-0.7853247,23.889814,1.9928983,-0.93042594,0.2781363,4.3750935,-6.3695016,-0.49497426,0.0,0.64119065,-8.846098,-0.014107471,1.7981166,0.9108767
