source_file,source_path,doi,year,authors,electrode_label,role,is_primary,mxene_formula,mxene_formula__unit,mxene_formula__conf,composition,composition__unit,composition__conf,synthesis_method,synthesis_method__unit,synthesis_method__conf,layer_no,layer_no__unit,layer_no__conf,interlayer_spacing,interlayer_spacing__unit,interlayer_spacing__conf,flake_size,flake_size__unit,flake_size__conf,porosity,porosity__unit,porosity__conf,pore_diameter,pore_diameter__unit,pore_diameter__conf,tortuosity,tortuosity__unit,tortuosity__conf,electrode_thickness,electrode_thickness__unit,electrode_thickness__conf,mass_loading,mass_loading__unit,mass_loading__conf,electrolyte,electrolyte__unit,electrolyte__conf,ssa,ssa__unit,ssa__conf,scan_rate,scan_rate__unit,scan_rate__conf,current_density,current_density__unit,current_density__conf,gravimetric_capacitance,gravimetric_capacitance__unit,gravimetric_capacitance__conf,volumetric_capacitance,volumetric_capacitance__unit,volumetric_capacitance__conf,areal_capacitance,areal_capacitance__unit,areal_capacitance__conf
1-s2.0-S0008622325000375-main.pdf,1-s2.0-S0008622325000375-main.pdf,10.1016/j.carbon.2025.120021,2025,Hailong Shen et al.,NS-Ti3C2Tx-P,primary,True,Ti3C2Tx,,stated,"N/S co-doped Ti3C2Tx (Ti, C, O, F, N, S)",,stated,LiF/HCl etching; photothermal-assisted thiourea N/S co-doping under high-pressure mercury lamp,,stated,few-layer,,derived,1.42,nm,stated,,,stated,,,stated,,,stated,,,stated,,,stated,1.69,mg cm−2,stated,2 M H2SO4,,derived,,,stated,2,mV s−1,stated,,,stated,424,F g−1,stated,1023,F cm−3,stated,,,stated
1-s2.0-S0008622325000375-main.pdf,1-s2.0-S0008622325000375-main.pdf,10.1016/j.carbon.2025.120021,2025,Hailong Shen et al.,NS-Ti3C2Tx-A,variant,False,Ti3C2Tx,,stated,N/S co-doped Ti3C2Tx,,stated,LiF/HCl etching; thiourea N/S co-doping by annealing at 300 °C for 3 h in Ar,,stated,few-layer,,derived,2.74,,stated,,,stated,,,stated,,,stated,,,stated,,,stated,2.12,mg cm−2,stated,2 M H2SO4,,derived,,,stated,2,mV s−1,stated,,,stated,358,F g−1,stated,949,F cm−3,stated,,,stated
1-s2.0-S0008622325000375-main.pdf,1-s2.0-S0008622325000375-main.pdf,10.1016/j.carbon.2025.120021,2025,Hailong Shen et al.,Ti3C2Tx,control,False,Ti3C2Tx,,stated,Ti3C2Tx,,stated,LiF/HCl etching,,stated,few-layer,,stated,1.15,nm,stated,,,stated,,,stated,,,stated,,,stated,,,stated,1.20,mg cm−2,stated,2 M H2SO4,,derived,,,stated,2,mV s−1,stated,,,stated,330,F g−1,stated,789,F cm−3,stated,,,stated
1-s2.0-S001346862101762X-main.pdf,1-s2.0-S001346862101762X-main.pdf,10.1016/j.electacta.2021.139476,2022,Liang Guo et al.,HF-etched Ti3C2Tx,control,False,Ti3C2Tx,,stated,"Ti3C2Tx with –F, –O and –OH surface terminations",,stated,"HF etching (30 wt% HF, 18 h at room temperature)",,stated,layered,,stated,approximately 0.96,nm,stated,,,stated,,,stated,,,stated,,,stated,,,stated,,,stated,1 M H2SO4 solution,,derived,,,stated,,,stated,1,A g−1,stated,60,F g−1,stated,,,stated,,,stated
1-s2.0-S001346862101762X-main.pdf,1-s2.0-S001346862101762X-main.pdf,10.1016/j.electacta.2021.139476,2022,Liang Guo et al.,M-Ti3C2Tx,variant,False,Ti3C2Tx,,stated,Ti3C2Tx with reduced –F and increased –O surface terminations,,stated,"Treatment in LiCl-KCl molten salt (1:1 mol, 450 °C, 12 h)",,stated,,,stated,0.97,nm,stated,,,stated,,,stated,,,stated,,,stated,,,stated,,,stated,1 M H2SO4 solution,,derived,,,stated,,,stated,,,uncertain,,,uncertain,,,stated,,,stated
1-s2.0-S001346862101762X-main.pdf,1-s2.0-S001346862101762X-main.pdf,10.1016/j.electacta.2021.139476,2022,Liang Guo et al.,KM-Ti3C2Tx,primary,True,Ti3C2Tx,,stated,Ti3C2Tx with potassium oxygenated complexes intercalated and –O-rich surface terminations,,stated,"Treatment in LiCl-KCl-K2CO3 molten salt (450 °C, 12 h)",,stated,,,stated,1.05–1.21,nm,stated,,,stated,,,stated,,,stated,,,stated,,,stated,,,stated,1 M H2SO4 solution,,derived,,,stated,,,stated,0.5,A g−1,stated,340,F g−1,stated,,,stated,,,stated
1-s2.0-S0013468622000433-main.pdf,1-s2.0-S0013468622000433-main.pdf,10.1016/j.electacta.2022.139871,2022,Luo et al.,MP0,control,False,Ti3C2Tx,,stated,Ti3C2Tx,,stated,LiF/HCl etching followed by delamination and vacuum filtration,,stated,multilayer,,stated,,,stated,,,stated,,,stated,1–3,nm,uncertain,,,stated,,,stated,,,stated,1 M H2SO4 aqueous solution,,derived,2.95,m2 g−1,stated,,,stated,,,stated,,,stated,,,stated,,,stated
1-s2.0-S0013468622000433-main.pdf,1-s2.0-S0013468622000433-main.pdf,10.1016/j.electacta.2022.139871,2022,Luo et al.,MP2,composite,False,Ti3C2Tx,,stated,Ti3C2Tx/PANI nanoﬁbers (10 mL MXene dispersion + 2 mL PANI dispersion),,stated,"LiF/HCl etching, PANI physical mixing, and vacuum filtration",,stated,multilayer,,stated,,,stated,,,stated,,,stated,,,stated,,,stated,,,stated,,,stated,1 M H2SO4 aqueous solution,,derived,,,stated,,,stated,,,stated,,,stated,,,stated,,,stated
1-s2.0-S0013468622000433-main.pdf,1-s2.0-S0013468622000433-main.pdf,10.1016/j.electacta.2022.139871,2022,Luo et al.,MP5,primary,True,Ti3C2Tx,,stated,Ti3C2Tx/PANI nanoﬁbers (10 mL MXene dispersion + 5 mL PANI dispersion),,stated,"LiF/HCl etching, PANI physical mixing, and vacuum filtration",,stated,multilayer,,stated,,,stated,,,stated,,,stated,5–20,nm,uncertain,,,stated,,,stated,,,stated,1 M H2SO4 aqueous solution,,derived,5.97,m2 g−1,uncertain,10,mV s−1,stated,,,stated,425.7,F g−1,stated,,,stated,,,stated
1-s2.0-S0013468622000433-main.pdf,1-s2.0-S0013468622000433-main.pdf,10.1016/j.electacta.2022.139871,2022,Luo et al.,MP8,composite,False,Ti3C2Tx,,stated,Ti3C2Tx/PANI nanoﬁbers (10 mL MXene dispersion + 8 mL PANI dispersion),,stated,"LiF/HCl etching, PANI physical mixing, and vacuum filtration",,stated,multilayer,,stated,,,stated,,,stated,,,stated,,,stated,,,stated,,,stated,,,stated,1 M H2SO4 aqueous solution,,derived,,,stated,,,stated,,,stated,,,stated,,,stated,,,stated
1-s2.0-S0144861722014242-main.pdf,1-s2.0-S0144861722014242-main.pdf,10.1016/j.carbpol.2022.120519,2023,Yuan et al.,MXene,control,False,Ti3C2Tx,,stated,Ti3C2Tx,,stated,LiF/HCl (MILD) etching,,stated,exfoliated,,stated,,,stated,,,stated,,,stated,,,stated,,,stated,,,stated,,,stated,1 M H2SO4,,derived,,,stated,,,stated,1,mA cm−2,stated,221,F g−1,stated,,,stated,630.2,mF cm−2,stated
1-s2.0-S0144861722014242-main.pdf,1-s2.0-S0144861722014242-main.pdf,10.1016/j.carbpol.2022.120519,2023,Yuan et al.,MXene/CNF,variant,False,Ti3C2Tx,,stated,Ti3C2Tx/CNF,,stated,LiF/HCl (MILD) etching and vacuum filtration,,derived,,,stated,,,stated,,,stated,,,stated,,,stated,,,stated,,,stated,,,stated,1 M H2SO4,,derived,,,stated,,,stated,1,mA cm−2,stated,122,F g−1,stated,,,stated,967,mF cm−2,stated
