source_file,source_path,doi,year,authors,electrode_label,role,is_primary,mxene_formula,mxene_formula__unit,mxene_formula__conf,composition,composition__unit,composition__conf,synthesis_method,synthesis_method__unit,synthesis_method__conf,layer_no,layer_no__unit,layer_no__conf,layer_no__src,interlayer_spacing,interlayer_spacing__unit,interlayer_spacing__conf,interlayer_spacing__src,flake_size,flake_size__unit,flake_size__conf,flake_size__src,porosity,porosity__unit,porosity__conf,porosity__src,pore_diameter,pore_diameter__unit,pore_diameter__conf,pore_diameter__src,tortuosity,tortuosity__unit,tortuosity__conf,electrode_thickness,electrode_thickness__unit,electrode_thickness__conf,electrode_thickness__src,mass_loading,mass_loading__unit,mass_loading__conf,mass_loading__src,electrolyte,electrolyte__unit,electrolyte__conf,ssa,ssa__unit,ssa__conf,ssa__src,scan_rate,scan_rate__unit,scan_rate__conf,scan_rate__src,current_density,current_density__unit,current_density__conf,current_density__src,gravimetric_capacitance,gravimetric_capacitance__unit,gravimetric_capacitance__conf,gravimetric_capacitance__src,volumetric_capacitance,volumetric_capacitance__unit,volumetric_capacitance__conf,volumetric_capacitance__src,areal_capacitance,areal_capacitance__unit,areal_capacitance__conf,areal_capacitance__src,formula_match,formula_reasoning,synthesis_match,synthesis_reasoning,electrolyte_match,electrolyte_reasoning,overall,overall_reasoning
1-s2.0-S0008622325000375-main.pdf,1-s2.0-S0008622325000375-main.pdf,10.1016/j.carbon.2025.120021,2025,Hailong Shen et al.,NS-Ti3C2Tx-P,primary,True,Ti3C2Tx,,stated,"N/S co-doped Ti3C2Tx (Ti, C, O, F, N, S)",,stated,LiF/HCl etching; photothermal-assisted thiourea N/S co-doping under high-pressure mercury lamp,,stated,few-layer,,derived,,1.42,nm,stated,,,,stated,,,,stated,,,,stated,,,,stated,7.00,μm,derived,"[UNVERIFIED] Back-calculated from the paper's own numbers: C_v = C_g x density and density = mass_loading / thickness. Stated: 'The mass load of NS-Ti3C2Tx-P is 1.69 mg cm-2'; 'the specific capacitance of NS-Ti3C2Tx-P can reach 424 F g-1 (1023 F cm-3) at 2 mV s-1'. density = 1023/424 = 2.413 g cm-3; t = 1.69e-3 g cm-2 / 2.413 g cm-3 = 7.00e-4 cm = 7.00 um. The same arithmetic on the two sister samples returns 8.00 and 5.02 um, i.e. the authors used round micrometre thicknesses, which confirms the chain. [+-3%]",1.69,mg cm−2,stated,,2 M H2SO4,,derived,,,stated,,2,mV s−1,stated,,,,stated,,424,F g−1,stated,,1023,F cm−3,stated,,0.717,F cm−2,derived,"[UNVERIFIED] C_areal = C_g x mass loading = 424 F g-1 x 1.69e-3 g cm-2 = 0.7166 F cm-2, at the stated 2 mV s-1. Cross-check with C_v x thickness: 1023 F cm-3 x 7.00e-4 cm = 0.716 F cm-2. [+-2%]",True,Primary formula 'Ti3C2Tx' contains Ti3C2 (Ti3C2Tx or Ti3C2).,True,Synthesis explicitly mentions both LiF and HCl.,True,Electrolyte explicitly mentions H2SO4 (sulfuric acid).,PASS,Passes all criteria.
1-s2.0-S0008622325000375-main.pdf,1-s2.0-S0008622325000375-main.pdf,10.1016/j.carbon.2025.120021,2025,Hailong Shen et al.,NS-Ti3C2Tx-A,variant,False,Ti3C2Tx,,stated,N/S co-doped Ti3C2Tx,,stated,LiF/HCl etching; thiourea N/S co-doping by annealing at 300 °C for 3 h in Ar,,stated,few-layer,,derived,,2.74,,stated,,,,stated,,,,stated,,,,stated,,,,stated,8.00,μm,derived,"[UNVERIFIED] Same chain as NS-Ti3C2Tx-P. Stated: mass load 2.12 mg cm-2; 'the mass capacitance of NS-Ti3C2Tx-A and Ti3C2Tx are only 358 F g-1 and 330 F g-1, and the volume capacitance are 949 F cm-3 and 789 F cm-3' (2 mV s-1). density = 949/358 = 2.651 g cm-3; t = 2.12e-3/2.651 = 8.00e-4 cm = 8.00 um. [+-3%]",2.12,mg cm−2,stated,,2 M H2SO4,,derived,,,stated,,2,mV s−1,stated,,,,stated,,358,F g−1,stated,,949,F cm−3,stated,,0.759,F cm−2,derived,[UNVERIFIED] C_areal = 358 F g-1 x 2.12e-3 g cm-2 = 0.7590 F cm-2 at 2 mV s-1 (both inputs text-stated). [+-2%],True,Primary formula 'Ti3C2Tx' contains Ti3C2 (Ti3C2Tx or Ti3C2).,True,Synthesis explicitly mentions both LiF and HCl.,True,Electrolyte explicitly mentions H2SO4 (sulfuric acid).,PASS,Passes all criteria.
1-s2.0-S0008622325000375-main.pdf,1-s2.0-S0008622325000375-main.pdf,10.1016/j.carbon.2025.120021,2025,Hailong Shen et al.,Ti3C2Tx,control,False,Ti3C2Tx,,stated,Ti3C2Tx,,stated,LiF/HCl etching,,stated,few-layer,,stated,,1.15,nm,stated,,,,stated,,,,stated,,,,stated,,,,stated,5.02,μm,derived,[UNVERIFIED] Same chain. Stated: mass load 1.20 mg cm-2; 330 F g-1 / 789 F cm-3 at 2 mV s-1. density = 789/330 = 2.391 g cm-3; t = 1.20e-3/2.391 = 5.02e-4 cm = 5.02 um. [+-3%],1.20,mg cm−2,stated,,2 M H2SO4,,derived,,,stated,,2,mV s−1,stated,,,,stated,,330,F g−1,stated,,789,F cm−3,stated,,0.396,F cm−2,derived,[UNVERIFIED] C_areal = 330 F g-1 x 1.20e-3 g cm-2 = 0.3960 F cm-2 at 2 mV s-1 (both inputs text-stated). [+-2%],True,Primary formula 'Ti3C2Tx' contains Ti3C2 (Ti3C2Tx or Ti3C2).,True,Synthesis explicitly mentions both LiF and HCl.,True,Electrolyte explicitly mentions H2SO4 (sulfuric acid).,PASS,Passes all criteria.
1-s2.0-S0013468622000433-main.pdf,1-s2.0-S0013468622000433-main.pdf,10.1016/j.electacta.2022.139871,2022,Luo et al.,MP0,control,False,Ti3C2Tx,,stated,Ti3C2Tx,,stated,LiF/HCl etching followed by delamination and vacuum filtration,,stated,multilayer,,stated,,12.58,Å,derived,"[UNVERIFIED] Bragg from the text-stated (002) position: 'the peak of (002) plane of MP0, MP2, MP5 and MP8 gradually shifts to a small angle at 2θ≈7.02, 6.90, 6.72 and 6.86 °'. d = 1.5406/(2 sin(7.02/2)) = 12.582 Å (Cu Kα, XRD stated as 'Rigaku, CuKα'). [+-1%]",,,stated,,,,stated,,1–3,nm,uncertain,,,,stated,19.0–20.0,μm,figure,"[UNVERIFIED] Fig. 2(g) (cross-sectional SEM of MP0) carries the same style of printed full-film arrow, but its annotation reads '19.__ μm' – the two decimal digits are washed out by a bright SEM feature and are not recoverable at the raster resolution of the embedded image. Only the integer part '19' is legible, so the value is bracketed 19.0–20.0 μm. Measuring the arrow against the panel's own 10 μm bar gives ~18.6–20.0 μm, consistent. [+-3%]",,,stated,,1 M H2SO4 aqueous solution,,derived,2.95,m2 g−1,stated,,,,stated,,1.0,A g−1,stated,"[UNVERIFIED] Fig. 4 caption: '(c) GCD of MP0, MP2, MP5 and MP8 at current density of 1.0 A g-1'. Three-electrode cell, 1 M H2SO4 (Section 2.5). Condition for the gravimetric capacitance recorded in this row.",201,F g−1,figure,"[UNVERIFIED] Fig. 4(c), GCD of all four films at 1.0 A g-1 (three-electrode). At fixed I and fixed window (-0.4 to +0.4 V) C is proportional to discharge time, so the curves were read as ratios against MP5, whose value the text states exactly ('at 10.0, 5.0, 3.0, 2.0, 1.0, 0.80, 0.50 A g-1, the specific capacitance is 136.3, 197.5, 224.6, 242.5, 272.5, 288.9 and 304.8 F g-1'). Pixel discharge widths (apex-to-end) on the embedded raster: MP0 194 px, MP2 231, MP5 263, MP8 235. C(MP0) = 272.5 x 194/263 = 201 F g-1. Anchoring to the stated MP5 value removes any time-axis calibration error. [+-8%]",,,stated,,,,stated,,True,Primary formula 'Ti3C2Tx' contains Ti3C2 (Ti3C2Tx or Ti3C2).,True,Synthesis explicitly mentions both LiF and HCl.,True,Electrolyte explicitly mentions H2SO4 (sulfuric acid).,PASS,Passes all criteria.
1-s2.0-S0013468622000433-main.pdf,1-s2.0-S0013468622000433-main.pdf,10.1016/j.electacta.2022.139871,2022,Luo et al.,MP2,composite,False,Ti3C2Tx,,stated,Ti3C2Tx/PANI nanoﬁbers (10 mL MXene dispersion + 2 mL PANI dispersion),,stated,"LiF/HCl etching, PANI physical mixing, and vacuum filtration",,stated,multilayer,,stated,,12.80,Å,derived,[UNVERIFIED] Bragg from text-stated 2θ = 6.90° for MP2 (same sentence as MP0): d = 1.5406/(2 sin 3.45°) = 12.800 Å. [+-1%],,,stated,,,,stated,,,,stated,,,,stated,19.88,μm,figure,"[UNVERIFIED] Fig. 2(h) (cross-sectional SEM of MP2) carries a printed yellow double-headed arrow spanning the whole film with the annotation '19.88 μm'. Read directly from the annotation, not measured. [+-2%]",,,stated,,1 M H2SO4 aqueous solution,,derived,,,stated,,,,stated,,1.0,A g−1,stated,"[UNVERIFIED] Fig. 4 caption: '(c) GCD of MP0, MP2, MP5 and MP8 at current density of 1.0 A g-1'. Three-electrode cell, 1 M H2SO4.",239,F g−1,figure,"[UNVERIFIED] Fig. 4(c) at 1.0 A g-1, ratio-to-MP5 method (see MP0 entry): C = 272.5 x 231/263 = 239 F g-1. NOTE: MP2 (231 px) and MP8 (235 px) differ by only 1.7%, i.e. they are equal within reading precision – the ordering between MP2 and MP8 should not be treated as resolved. [+-8%]",,,stated,,,,stated,,True,Primary formula 'Ti3C2Tx' contains Ti3C2 (Ti3C2Tx or Ti3C2).,True,Synthesis explicitly mentions both LiF and HCl.,True,Electrolyte explicitly mentions H2SO4 (sulfuric acid).,PASS,Passes all criteria.
1-s2.0-S0013468622000433-main.pdf,1-s2.0-S0013468622000433-main.pdf,10.1016/j.electacta.2022.139871,2022,Luo et al.,MP5,primary,True,Ti3C2Tx,,stated,Ti3C2Tx/PANI nanoﬁbers (10 mL MXene dispersion + 5 mL PANI dispersion),,stated,"LiF/HCl etching, PANI physical mixing, and vacuum filtration",,stated,multilayer,,stated,,13.14,Å,derived,[UNVERIFIED] Bragg from text-stated 2θ = 6.72° for MP5: d = 1.5406/(2 sin 3.36°) = 13.143 Å. [+-1%],,,stated,,,,stated,,5–20,nm,uncertain,,,,stated,30.76,μm,figure,"[UNVERIFIED] Fig. 2(i) (cross-sectional SEM of MP5): printed yellow full-film arrow annotated '30.76 μm' (last digit could conceivably be 0 rather than 6; immaterial at 0.2%). Independent check by measuring the arrow against the panel's own 30 μm scale bar gives 30.4 μm, consistent. [+-3%]",,,stated,,1 M H2SO4 aqueous solution,,derived,5.97,m2 g−1,uncertain,,10,mV s−1,stated,,,,stated,,425.7,F g−1,stated,,,,stated,,,,stated,,True,Primary formula 'Ti3C2Tx' contains Ti3C2 (Ti3C2Tx or Ti3C2).,True,Synthesis explicitly mentions both LiF and HCl.,True,Electrolyte explicitly mentions H2SO4 (sulfuric acid).,PASS,Passes all criteria.
1-s2.0-S0013468622000433-main.pdf,1-s2.0-S0013468622000433-main.pdf,10.1016/j.electacta.2022.139871,2022,Luo et al.,MP8,composite,False,Ti3C2Tx,,stated,Ti3C2Tx/PANI nanoﬁbers (10 mL MXene dispersion + 8 mL PANI dispersion),,stated,"LiF/HCl etching, PANI physical mixing, and vacuum filtration",,stated,multilayer,,stated,,12.88,Å,derived,[UNVERIFIED] Bragg from text-stated 2θ = 6.86° for MP8: d = 1.5406/(2 sin 3.43°) = 12.875 Å. [+-1%],,,stated,,,,stated,,,,stated,,,,stated,31.73,μm,figure,"[UNVERIFIED] Fig. 2(j) (cross-sectional SEM of MP8): printed yellow full-film arrow annotated '31.73 μm'. Arrow-vs-30 μm-scale-bar measurement gives 31.9 μm, consistent. [+-3%]",,,stated,,1 M H2SO4 aqueous solution,,derived,,,stated,,,,stated,,1.0,A g−1,stated,"[UNVERIFIED] Fig. 4 caption: '(c) GCD of MP0, MP2, MP5 and MP8 at current density of 1.0 A g-1'. Three-electrode cell, 1 M H2SO4.",243,F g−1,figure,"[UNVERIFIED] Fig. 4(c) at 1.0 A g-1, ratio-to-MP5 method (see MP0 entry): C = 272.5 x 235/263 = 243 F g-1. NOTE: equal to MP2 within reading precision (1.7% apart); do not treat MP8 > MP2 as resolved. [+-8%]",,,stated,,,,stated,,True,Primary formula 'Ti3C2Tx' contains Ti3C2 (Ti3C2Tx or Ti3C2).,True,Synthesis explicitly mentions both LiF and HCl.,True,Electrolyte explicitly mentions H2SO4 (sulfuric acid).,PASS,Passes all criteria.
1-s2.0-S0144861722014242-main.pdf,1-s2.0-S0144861722014242-main.pdf,10.1016/j.carbpol.2022.120519,2023,Yuan et al.,MXene,control,False,Ti3C2Tx,,stated,Ti3C2Tx,,stated,LiF/HCl (MILD) etching,,stated,exfoliated,,stated,,,,stated,,,,stated,,,,stated,,,,stated,,,,stated,,,stated,,,,stated,,1 M H2SO4,,derived,,,stated,,5-100,mV s−1,derived,"Methods (Section 2.5): ""Cyclic voltammetry (CV) tests were recorded from −0.3–0.3 V at scan rates range of 5–100 mV s−1"" for the three-electrode (1 M H2SO4) tests of all three films; Fig. 4b compares MXene, MXene/CNF and MXene/CNF/PANI at 50 mV s−1. Series-level measurement range, not per-sample. NOTE: the capacitance values already in this row are GCD-derived (at 1 mA cm−2 / 1 A g−1), so this scan rate is NOT the condition of those capacitances - no CV-based capacitance is reported.",1,mA cm−2,stated,,221,F g−1,stated,,,,stated,,630.2,mF cm−2,stated,,True,Primary formula 'Ti3C2Tx' contains Ti3C2 (Ti3C2Tx or Ti3C2).,True,Synthesis explicitly mentions both LiF and HCl.,True,Electrolyte explicitly mentions H2SO4 (sulfuric acid).,PASS,Passes all criteria.
1-s2.0-S0144861722014242-main.pdf,1-s2.0-S0144861722014242-main.pdf,10.1016/j.carbpol.2022.120519,2023,Yuan et al.,MXene/CNF,variant,False,Ti3C2Tx,,stated,Ti3C2Tx/CNF,,stated,LiF/HCl (MILD) etching and vacuum filtration,,derived,exfoliated,-,derived,"[UNCONFIRMED] Section 2.2: the MXene used in all films is the delaminated supernatant from LiF/HCl etching (""the supernatant and precipitate were ultrasonicated for 15 min, then centrifuged the mixture at 3000 rpm for 1 h and collected the required upper dispersion... The resulting super liquid was the solution of MXene""), and Section 2.3 states this same MXene dispersion (40 mg) is used for the composite films. Raman (Fig. 2b) is assigned to ""Ti-C bond vibrations within the exfoliated Ti3C2Tx... confirms the successful etching and exfoliation of Al"" for all films. Same descriptor as the already-filled MXene control row; no layer count is ever quoted.",,,stated,,,,stated,,,,stated,,,,stated,,,,stated,,,stated,,,,stated,,1 M H2SO4,,derived,,,stated,,5-100,mV s−1,derived,"Methods (Section 2.5): ""CV tests were recorded from −0.3–0.3 V at scan rates range of 5–100 mV s−1""; Fig. 4b shows all three electrodes at 50 mV s−1 and Fig. S7a the MXene/CNF CV. Series-level range covering all three electrodes; the row's capacitances come from GCD at 1 mA cm−2, not from CV.",1,mA cm−2,stated,,122,F g−1,stated,,,,stated,,967,mF cm−2,stated,,True,Primary formula 'Ti3C2Tx' contains Ti3C2 (Ti3C2Tx or Ti3C2).,True,Synthesis explicitly mentions both LiF and HCl.,True,Electrolyte explicitly mentions H2SO4 (sulfuric acid).,PASS,Passes all criteria.
1-s2.0-S0144861722014242-main.pdf,1-s2.0-S0144861722014242-main.pdf,10.1016/j.carbpol.2022.120519,2023,Yuan et al.,MXene/CNF/PANI,primary,True,Ti3C2Tx,,stated,Ti3C2Tx/CNF/PANI (CNF:MXene:PANI = 1:4:4),,stated,"LiF/HCl (MILD) etching, in situ polymerization, and vacuum filtration",,stated,exfoliated,-,derived,"[UNCONFIRMED] Same delaminated (exfoliated) MXene dispersion is used for this film - Section 2.3: ""A total of 40 mg of the prepared MXene was then added to the dispersion""; Section 2.2 describes collection of the delaminated upper dispersion. Raman discussion refers to ""exfoliated Ti3C2Tx"" in all films. No numeric layer count is reported anywhere.",,,stated,,,,stated,,,,stated,,,,stated,,,,stated,,,stated,,,,stated,,1 M H2SO4,,derived,,,stated,,5-100,mV s−1,derived,"Methods (Section 2.5): ""CV tests were recorded from −0.3–0.3 V at scan rates range of 5–100 mV s−1"", confirmed by ""Fig. 4e shows the CV curves of the MXene/CNF/PANI composite at 5, 10, 25, 50, 100 mV s−1"". This is the three-electrode CV range; the tabulated capacitances are GCD values at 1 mA cm−2 / 1 A g−1. (The 5-200 mV s−1 range mentioned later belongs to the symmetric DEVICE, not this electrode.)",1,mA cm−2,stated,,356,F g−1,stated,,,,stated,,2935,mF cm−2,stated,,True,Primary formula 'Ti3C2Tx' contains Ti3C2 (Ti3C2Tx or Ti3C2).,True,Synthesis explicitly mentions both LiF and HCl.,True,Electrolyte explicitly mentions H2SO4 (sulfuric acid).,PASS,Passes all criteria.
